A01:A_MAZE_ING|???: "У-ди-ви-тельно!"
S05:LORE_PRISMTOWER3|ТЕХНИК: "Не похоже, чтобы они были настроены на цель, во всяком случае, сейчас"
S05:LORE_PRISMTOWER4|ТЕХНИК: "А эта штука в центре похожа на генератор разрыва второго поколения"
S05:LORE_ROBO|ОТРЯД: "Они теперь работают и над роботами? Это совсем нехорошо.\nНу, по крайней мере, похоже, что они отключены"
S05:LORE_ROBO2|ТЕХНИК: "Возможно, удастся перепрошить эти панели управления и заставить их сражаться за нас"
S05:LORE_ULTRAMINER|ОТРЯД: "Похоже, они пытаются улучшить свои проекты Хроно-Рудокопа и Перераб. Комбината"
S05:LORE_ULTRAMINER2|ОТРЯД: "...и его оружие может подавить катушку Тесла? И у Союзников есть работающий образец Тесла-оружия!?"
S05:MGTK_OURS|ТЕРМИНАЛ: "ТАНКИ МИРАЖ АКТИВИРОВАНЫ".
S05:MORTAR|Минометные Квадроциклы - это противотанковая осадная пехота Конфедерации.
S05:MORTAR2|Они могут обстреливать машины издалека и уходить до того, как их настигнет ответный удар.
S05:OBELISK|Площадь Согласия
S05:OBJ1|Задача 1: Проникните в башню связи союзников и хотя бы одну гражданскую электростанцию.
S05:OBJ1C|Задание Выполнено. Диверсанты на позиции.
S05:OBJ2|Задача 2: Уничтожьте все войска Альянса в Париже и найдите Волкова.
S05:OBJ2C|Задача Выполнено: Все войска Альянса в Париже уничтожены.
S05:OBJ3|Задача 3: Осмотрите Парижские катакомбы.
S05:OBJ4|ВОЛКОВ: "УБИТЬ ИХ ВСЕХ!!!"
S05:OPTION_A|Отряд Конфедерации находятся в состоянии готовности на севере.
S05:OPTION_B|Отряд Русских ожидает ваших приказов на юге.
S05:P2_FINAL_PARADROP|Мы отправляем дополнительные отряды парашютистов, чтобы добить то, что осталось от союзников.
S05:P2_SPENT_LATIN|Все отряды Конфедерации в настоящий момент израсходованы.
S05:P2_SPENT_RUSSIAN|Все Русские отряды в настоящий момент израсходованы.
S05:P4_BRING_CHARONS|ШТУРМ СПЕЦИАЛИСТ: "Моя призм-винтовка едва царапает его! Приведите сюда Хароны срочно..."
S05:P4_STOP_VOLKOV|СОЛДАТ: "Кто-нибудь остановите..."
S05:PLAGUE_OF_TOADS|ДИВЕРСАНТ: "Мы превратили их отвратительных лягушек в биооружие.\nФранцузов поджидает неприятная неожиданность"
S05:PLAGUE_OF_TOADS2|???: "Узрите силу... СИ!"
S05:PLAYER_DESTROYED|Все ваши силы уничтожены - МИССИЯ ПРОВАЛЕНА
S05:POWER_INFILTRATED|Диверсант успешно проник на электростанции питающие Большие Пушки.
S05:REACTOR_COOLANT|ТЕРМИНАЛ: "ОХЛАЖДЕНИЕ РЕАКТОРА ОТКЛЮЧЕНО"
S05:REACTOR_RODS|ТЕРМИНАЛ: "ПОДЪЕМ КОНТРОЛЬНЫХ СТЕРЖНЕЙ РЕАКТОРА"
S05:REACTORS_OVERLOADED|ОТРЯД: "Давайте убираться отсюда!"
S05:ROBO1ON|ТЕРМИНАЛ: "Робот-Танк А Активирован."
S05:ROBO1ON2|ТЕХНИК: "Робот-танк оснащен американской системой лазерного огня".
S05:ROBO1ON3|ТЕХНИК: "Судя по всему, на первом прототипе была противотанковая пушка"
S05:ROBO2ON|ТЕРМИНАЛ: "Робот-Танк Б Активирован."
S05:ROBO2ON2|ТЕХНИК: "Ходовая часть судя по всему - была закончена на этом же предприятии Евросоюзом совсем недавно"
S05:ROBO2ON3|ТЕХНИК: "К сожалению, в нем нет сведений о бригаде, которая над ним работала"
S05:ROBO3ON|ТЕРМИНАЛ: "Робот-Танк В Активирован."
S05:ROBO3ON2|ТЕХНИК: "Система парящей подвески была разработана инженерами «Канегава Индастриз» в Осаке"
S05:ROBO4ON|ТЕРМИНАЛ: "Робот-Танк Г Активирован."
S05:ROBO4ON2|ТЕХНИК: "Эти машины не идут ни в какое сравнение с нашими дронами ужаса, но сейчас и они вполне сгодятся"
S05:SAFETY1_DOWN|ТЕРМИНАЛ: "РЕАКТОР 1 ПРЕДОХРАНИТЕЛИ ОТКЛЮЧЕНЫ"
S05:SAFETY2_DOWN|ТЕРМИНАЛ: "РЕАКТОР 2 ПРЕДОХРАНИТЕЛИ ОТКЛЮЧЕНЫ"
S05:SAFETY3_DOWN|ТЕРМИНАЛ: "РЕАКТОР 3 ПРЕДОХРАНИТЕЛИ ОТКЛЮЧЕНЫ"
S05:SAFETY4_DOWN|ТЕРМИНАЛ: "РЕАКТОР 4 ПРЕДОХРАНИТЕЛИ ОТКЛЮЧЕНЫ"
S05:SECRET|???: "ЗАГРУЗОЧНЫЙ МАСТЕР-КЛЮЧ ИДЕНТИФИЦИРОВАН. ДОСТУП РАЗРЕШЕН."
S05:SECRET1|???: "Королевский бич распускается на горизонте. Его невидимые клинки рассекут ваш разум на две половины"
S05:SECRET2|???: "Ягуар, Медведь и Орел снова сойдутся в битве."
S05:SECRET3|???: " Мертвые восстанут и снова умрут, Deus ex machina. Молодые умрут молодыми".
S05:SECRET4|???: "Дворец деградации, в котором живут дураки, как и должно быть."
S05:SECRET5|???: "Время - это плоский круг. Все, чему вы являетесь свидетелями, всего лишь Парадокс."
S05:SECRET6|???: "Выше звезд, ниже земли. Машина поднимается, не желая кричать."
S05:SECRET7|???: "Время забывает все, кроме грехов отцов. Вы играете в ту же игру, не умея играть в бога."
S05:SECRET8|???: "Когда соберется буря, ворон пустится в полет."
S05:SECRET9|???: "Прольется багровая кровь, но все впустую."
S05:SECRET9A|???: "Милосердие, благодать, сочувствие и спешка. Для того, по ком звонят колокола."
S05:SECRET9B|???: "Проживание на руинах может вызвать неожиданные сострадания."
S05:SECRET9C|???: "Две невозможности, Белое и Красное лежат под ногами, и все же из пепла рождается мудрость."
S05:SECRET9D|???: "Медведь бродит среди палящих дюн. Скорпион лишь наблюдает."
S05:SECRET9E|???: "Земля, море и небо, все равно умрут, и все же новые лица - старые лица."
S05:SHOCK|Тесла Штурмовики - это наше усовершенствование солдата Тесла. Они намного лучше во всех аспектах.
S05:SOMEWHERE_BELOW_PARIS|- Где-то под Парижем -
S05:SPOOK|Лягушка?
S05:SPYPLANE|Для вас подготовили самолет-шпион, чтобы вы могли разведать город.
S05:SREF_OURS|ТЕРМИНАЛ: "ПРИЗМА ТАНКИ АКТИВИРОВАНЫ"
S05:TECH_TRUCKS_EXPLODED|Как это странно. Их технологические грузовики просто взорвались.
S05:TECHNICIAN_DEAD|У вас больше нет возможности продолжать операцию - МИССИЯ ПРОВАЛЕНА
S05:TERMINAL_FAIL|ТЕРМИНАЛ: "КРИТИЧЕСКАЯ ОШИБКА. ОТКЛЮЧЕНИЕ".
S05:TOAD|Жабья чума
S05:UMIN_OURS|ТЕРМИНАЛ: "ПЕРЕОПРЕДЕЛЕНИЕ ПРИКАЗОВ УЛЬТРА-РУДОКОПА".
S05:UNLIMITED_POWER|СОЛДАТ-ТЕСЛА: "Я могу зарядить Эйфелеву башню и превратить ее в огромную Тесла-катушку!".
S05:VOLKOV_BERSERK|ОТРЯД: "Он взбесился! Руководству это очень не понравится!"
S05:VOLKOV_DEAD|Волков уничтожен - МИССИЯ ПРОВАЛЕНА
S05:VOLKOV_FOUND|ОТРЯД: "Невероятно... мы нашли его! И его верный пес также цел и невредим!".
S05:VOLKOV_FOUND2|ОТРЯД: "Эти ублюдки держали их живыми все эти годы только для того, чтобы проводить над ними эксперименты!"
S05:VOLKOV_FOUND3|ТЕХНИК: "Не похоже, что мы можем добраться до них отсюда. Это на уровне ниже"
S05:VOLKOV_FOUND4|ОТРЯД: "Рано сдаваться! Мы еще не все разведали. Продолжаем движение."
S05:VOLKOV_FOUND5|ТЕХНИК: "Огромный реакторный зал. Союзникам не понадобилось бы столько энергии без особой причины".
S05:VOLKOV_FOUND6|ТЕХНИК: "Я думаю что Союзники используют всю эту энергию чтобы удержать Волкова внутри купола"
S05:VOLKOV_FOUND7|ТЕХНИК: "Но то что может быть использовано для его удержания, может быть использовано для его освобождения..."
S05:VOLKOV_FOUND8|ТЕХНИК: "Если я смогу перегрузить реакторы, скачка напряжения должно быть достаточно,\nчтобы разрушить сдерживающее устройство
S05:VOLKOV_FOUND9|и в то же время дать ему суперзаряд. И несмотря на подавляющее количество охранников и защитников..."
S05:VOLKOV_FOUND9A|ОТРЯД: "Просто сделай что должен. Волков расправился с бесчисленными врагами ранее,\nон сможет найти выход"
S05:WHERE_IS_VOLKOV|Не может быть... Даже после того, как мы разгромили их Город Огней,\nне удалось найти ни малейшего следа Волкова.
S05:WHERE_IS_VOLKOV10|Для этой задачи будет подготовлена спецгруппа.\nК сожалению, наша армия будет вынуждена остаться позади, чтобы отбивать
S05:WHERE_IS_VOLKOV11|атаки союзников на случай, если они поймут, что происходит.
S05:WHERE_IS_VOLKOV12|Желаю удачи, товарищ. Мы отправляемся на совершенно неизведанную территорию.
S05:WHERE_IS_VOLKOV2|Наша разведка не может ошибаться.\nПочти два десятилетия ухищрений и шпионажа были совершены ради этого...
S05:WHERE_IS_VOLKOV3|Мы не можем отказаться от своих планов сразу после того, что сделали. Продолжайте искать.
S05:WHERE_IS_VOLKOV4|Анализируем данные с поля боя в самый последний раз...
S05:WHERE_IS_VOLKOV5|Будьте наготове, товарищ генерал. Возможно, есть что-то, чего мы не заметили.
S05:WHERE_IS_VOLKOV6|Похоже, что Союзники проявили большую скрытность, чем мы полагали.
S05:WHERE_IS_VOLKOV7|Это строение ведет прямо в Парижские катакомбы и выглядит довольно свежим.
S05:WHERE_IS_VOLKOV7A|Ширина туннеля позволяет легко вместить даже самую крупную тяжелую технику.
S05:WHERE_IS_VOLKOV8|Если наши предположения верны, то Союзники имели возможность построить целый подземный комплекс...
S05:WHERE_IS_VOLKOV9|Товарищ генерал, если там внизу могут находится останки Волкова\nто у нас нет выбора кроме как провести тщательное обследование.
S06:ALLIES_SETTING_BASES|Наши союзники сильно пострадали от бомбардировок с дальнего расстояния.\nТем не менее, им удалось высадить свои МСЦ.
S06:BRING_LATIN|База Европейцев пала. Мы можем развернуть МСЦ на этом месте если у вас получиться его сопроводить.
S06:BRING_RUS3|Американская база превратилась в руины. Вы можете запросить Российский МСЦ для создания аванпоста.
S06:BRING_RUS4|DEPRECATED
S06:CRYSTAL_DISCOVERED|Мы обнаружили некую конструкцию из кристалла в Перл-Харборе. Союзники усиленно охраняют его.
S06:CRYSTAL_DISCOVERED2|Чем бы ни была эта штука, она выглядит значимой для союзников. Уничтожьте его.
S06:CRYSTAL_ZIPPED|Что!? Союзники смогли телепортировать его!? Это может означать только одно...
S06:CRYSTAL_ZIPPED2|Не имеет значения. Продолжайте уничтожать их базы, пока они не успели эвакуировать все ценное.
S06:DESTROYED_MERCURY|Наши силы "обезопасят" и захватят останки этого устройства, как только все кончится.
S06:DESTROYED_MERCURY2|Возможно, мы сможем найти способ обратить оружие противника против него самого.
S06:DESTROYED_ROBOT|Судя по всему, Тихоокеанский фронт поддерживал связь со своими\nэкспедиционными силами на Багамах и во Флориде.
S06:DESTROYED_ROBOT2|Этот регион был ими отмечен как регион с "благоприятными атмосферными условиями".
S06:DESTROYED_SHIELD|Согласно данным, полученным из руин этого командного центра, силы Евро Альянса были
S06:DESTROYED_SHIELD2|телепортированы сюда совсем недавно для каких-то исследований, несомненно, связанных с этими зданиями.
S06:DREAD|Дредноуты класса "Кузнецов" - это наши дальнобойные осадные корабли.
S06:ENEMY_STRUCTURE|Вражеская Постройка
S06:ENEMY_VEHICLE|Вражеская Техника
S06:FLEET_10M|Японский флот прибудет через 10 минут.\nПодготовьтесь к бою или прикончите союзников, пока еще есть возможность.
S06:FLEET_COMING|ВНИМАНИЕ - Японцы поняли наши намерения и направили мощный военно-морской флот к Гавайям!
S06:FLEET_TIMER|Японский флот прибудет через:
S06:FORCEFIELD|Центр Управление Щитом окружено каким-то силовым полем.\nНайдите способ преодолеть поле и уничтожить его.
S06:GADOME_CAPTURED|Похоже, что этот старый радарный купол дал нам доступ к их Лонгбоу и спутниковому сканированию союзников.
S06:HINT_TESLACOIL|ТЕСЛА СОЛДАТ: "Если вы подпустите нас к катушкам Тесла, мы сможем\nподзарядить их для более мощных разрядов и дальности!"
S06:INTRO1|Южная Корея пала, Япония уже готова к захвату.\nВсе, что стоит на нашем пути - это небольшая цепочка островов.
S06:INTRO2|Здесь сосредоточены серьезные военно-морские силы Коминтерна. Мы окружим Перл-Харбор с трех позиций.
S06:INTRO3|Вы возглавите оперативную группу Конфедерации.\nПревратите этот старый склад снабжения в пепелище, чтобы мы могли создать плацдарм.
S06:INTRO4|Поторопитесь. Русские и китайцы уже начали претендовать на\nдругие острова в качестве своих оперативных баз.
S06:INTRO5|В Пёрл-Харборе есть Центр Связи с Меркурием, который координирует\nвсе спутники Меркурий вокруг южного полушария.
S06:INTRO5A|Эта технология Меркурия является достаточно мощной даже против объединенной мощи Коминтерна.
S06:INTRO5B|Юрий выразил желание заполучить эту технологию...\nНо мы не позволим ей попасть в его руки, даже если она переживет нападение.
S06:INTRO6|Конфедерация клянется исправить свою ошибку с Меркурием. Дайте им "шанс".
S06:MCV_ARRIVED|Ждите, товарищ генерал. Ваш МСЦ скоро прибудет.
S06:MERCURY_ACTIVE|ВНИМАНИЕ - Американцы закончили настройку системы Меркурий!\nОни могут наносить точные удары в любое место!
S06:MGG1|Эти мобильные генераторы разрывов - пережиток прошлого, но они выглядят исправными.\nВозможно, вы сможете найти им применение.
S06:MGG2|Хорошее решение, генерал. Пускай и небольшой но генератор разрывов может защитить нас
S06:MGG2A|от ударов Меркурия. Однако это не защитит нас от Зефиров.
S06:MGG3|Эти мобильные генераторы разрывов могут свести к минимуму ущерб,\nкоторый может нанести нам Меркурий! Быстрее!
S06:MGG4|Досадно. Эти генераторы разрывов могли бы нам очень помочь против ударов Меркурия.
S06:MGG4A|Поскольку мы не сможем свести ущерб к минимуму, нам придется поторопиться и уничтожить их станцию связи.
S06:MOSQUITOES|Теперь вы можете строить подрывные суда Москит. Они взрываются с большой силой, если им отдан приказ.
S06:NUKE_SILO_DESTROYED|Вся сеть спутников Меркурий скоординировала удар, чтобы уничтожить ядерную шахту российских сил!
S06:NUKE_SILO_DESTROYED2|Но он должен был полностью истощить свою энергию, пусть даже на короткое мгновение.\nВоспользуйтесь этой ситуацией!
S06:OBJ1|Задание 1: Уничтожьте старый аванпост снабжения.
S06:OBJ1C|Задание выполнено. Остров под контролем.
S06:OBJ2|Задание 2: Уничтожить силы Союзников.
S06:OBJ2C|Задание выполнено. Перл-Харбор пал, и Тихий океан принадлежит нам. Наступаем на Японию!
S06:OLAWDTHEYCOMIN|ВНИМАНИЕ - Японский флот прибыл!
S06:PLAYER_DESTROYED|Все ваши силы были уничтожены - МИССИЯ ПРОВАЛЕНА
S06:REINFORCEMENTS|Нажмите, чтобы отправить подкрепление в эту область.
S06:RUSSIANS_BUILT_NUKE|Русские построили тактическую ядерную ракетную шахту. Это может переломить ход событий в нашу пользу.
S06:ZE_EXPANSION1|Латинский Союз строителей рад вашим захватническим идеям и с удовольствием предоставляет вам
S06:ZE_EXPANSION1.1|дополнительный МСЦ который может быть доставлен в любое место по вашему желанию.
S06:ZE_EXPANSION2|Спасибо, что выбрали нас! Вместе мы сила!
S06:ZEPHYR_WARNING|ВНИМАНИЕ - Зефиры Тихоокеанского фронта были нацелены на вашу базу!
S06:ZEPHYRS_DESTROYED|Хорошая работа, генерал. Основные ударные Зефиры Тихоокеанского фронта уничтожены.
S07:APOC_ASSEMBLY|Сборочная Линия Апокалипсисов
S07:APOC_PRODUCTION_START|Сборочные линии теперь будут периодически предоставлять вам танки Апокалипсис время от времени.
S07:ARMSTRONG|Сенатор Брутстронг
S07:ASSY1_DESTROYED|Сборочная Линия Апокалипсисов была уничтожена - МИССИЯ ПРОВАЛЕНА
S07:ASSY2_DESTROYED|Сборочная Линия Апокалипсисов была уничтожена - МИССИЯ ПРОВАЛЕНА
S07:CHITZ_DEAD_AGAIN|Чицкой был серьезно поврежден, но мы можем его восстановить. У нас есть технология.
S07:CHITZ_DEAD1|Чицкой был ранен. Он вернется на поле боя, как только восстановится
S07:CHITZ_UNLOCKED|Чицкой был восстановлен и теперь находится в вашем распоряжении. Вы можете найти его в казарме.
S07:CHRONO_INVASION|ВНИМАНИЕ - Союзники начали телепортировать свои войска в регион!
S07:ENEMY_INFANTRY|Вражеская Пехота
S07:ENEMY_MCV_DETECTED|ВНИМАНИЕ - Союзники телепортировали в регион свой МСЦ!
S07:ENEMY_VEHICLE|Вражеская Техника
S07:HINT_BARRACUDA|ВНИМАНИЕ - К Дворцу с юга приближается эскадрилья неопознанных самолетов!
S07:HINT_CONTAINER_LEFT|ДР. ЗЕЛИНСКИЙ: "Дмитрий украл нашу работу и попытался воспроизвести нашу технологию Тесла для союзников."
S07:HINT_CONTAINER_MIDDLE|ДР. ЗЕЛИНСКИЙ: "Станция связи Меркурий может быть и не обладает технологией Лазерных Орудий сам по себе,\n
S07:HINT_CONTAINER_MIDDLE2|но он может помочь нам создать наши собственные наземно-космические системы связи и спутники."
S07:HINT_CONTAINER_RIGHT|ДР. ЗЕЛИНСКИЙ: "Дмитрию действительно удалось создать интересную вариацию, хотя ничего общего с моими
S07:HINT_CONTAINER_RIGHT2|знаниями в теоретической беспроводной передаче и магнитных волнах, но тем не менее интересную."
S07:HINT_IRON_GUARD|ДР. ЗЕЛИНСКИЙ: "Эта вариация железного занавеса может стать мощным оборонительным инструментом в будущем."
S07:HINT_MASTODON|ДР. ЗЕЛИНСКИЙ: "В обмен на наше утраченное кибернетическое наследие, китайцы дали нам один из своих
S07:HINT_MASTODON2|собственных прототипов танков. Если бы они также дали нам инструкции по их эксплуатации...".
S07:INTRO1|ДР. ЗЕЛИНСКИЙ: "Приветствую Товарищ Генерал, добро пожаловать в Уральский научно-исследовательский комплекс."
S07:INTRO2|ДР. ЗЕЛИНСКИЙ: "У нас есть что показать вам для ознакомления. Пожалуйста, взгляните на один из наших
S07:INTRO3|опытные образцы преемника танка Мамонт, могучего инструмента войны."
S07:IRON_GUARD|Приспособленный Железный Занавес
S07:JACK|Киборг Джек
S07:KINGSNAKE_JET_TECH|Похоже, что самолеты союзников уходят через какие-то червоточины, прежде чем мы сможем их по-настоящему\nуничтожить.
S07:MAP_REVEAL|Товарищ генерал, высылаем вам спутниковые разведданные по окрестностям.
S07:METALGEAR|???: "Стоя здесь, я понимаю, что ты был таким же, как я, пытающимся бороться с историей."
S07:MORE_PROPA_TRUCKS|Еще больше пропагандистских грузовиков союзников были переброшены в этот район.
S07:MWF_ARRIVES|С юго-запада прибыл "Кулак Сталина". Этот мобильный военный завод может на производить технику сразу на месте.
S07:NO_MORE_LOSE_ASSY|Миссия больше не будет провалена, если будет уничтожен хоть один из узлов сборки танков Апокалипсис.
S07:NO_MORE_OLD_STUFF|Эти старые танки - все, что мы смогли выделить. Используйте их хорошо.
S07:NOT_PARIS_VOLK1|Большая часть оружия Волкова была восстановлена после короткого замыкания в Париже,
S07:NOT_PARIS_VOLK2|но и здесь он окажется полезным.
S07:OBJ1|Задание: Защитите Дворец и сборочную линию танков Апокалипсис.
S07:OBJ1C|Задание выполнено.
S07:OBJ2|Задание: Уничтожить вражеские войска и защитить Дворец.
S07:OBJ2C|Задание выполнено.
S07:OLDMIG|Старый МиГ
S07:PALACE_DESTROYED|Дворец был разрушен - МИССИЯ ПРОВАЛЕНА
S07:PALACE_PROTECT|Но Дворец по-прежнему нужно защищать, и вы узнаете почему.
S07:PALACE_SPIED|Наши секреты были узнаны Союзниками - МИССИЯ ПРОВАЛЕНА
S07:PROMETHEUS|Прототип танка Прометей
S07:PROPA_TRUCKS|Союзники думают, что смогут покорить наших "местных жителей" своими пропагандистскими грузовиками.\nРазберитесь с ними!
S07:PROPA_TRUCKS_DEAD|Назойливые пропагандисты были отправлены на покой.
S07:REBELS_EXPOSED|Что? Наши собственные силы обернулись против нас! Подлецы! Предатели!
S07:REBELS_EXPOSED2|Все больше наших сил обращается против нас! Что это за безумие!?
S07:SETUP_DEFENSES|ДР. Зелинский: "Было бы разумно организовать оборону, пока еще есть время!"
S07:SOVIETS_ALLIES|Дружественные силы наконец-то прибыли, чтобы поддержать...\nПодождите, что!? Они нападают на наших людей! Негодяи! Предатели!
S07:STOLEN_TRUCKS|Одну из местных деревень не так-то просто одолеть.\n
S07:STOLEN_TRUCKS2|Они прислали добровольцев чтобы помочь нам, тех кто может угнать что угодно.
S07:THE_APOCALYPSE_HAS_BEGUN|ДР. Зелинский: "Танк Апокалипсис соответствует названию - это война в банке. Он может атаковать любые
S07:THE_APOCALYPSE_HAS_BEGUN2|наземные и воздушные цели, и ожидается, что это будет непобедимая боевая единица."
S07:TIMER_APOCS|Танк Апокалипсис будет завершен через:
S07:UH_OH|Дела плохи генерал. Наши солдаты мрут как мухи!
S07:VOLKOV_APOC_TALK|ВОЛКОВ: "Так это и есть наследники наших Мамонтов? Так давайте используем их по назначению!"
S07:VOLKOV_CHAT|ВОЛКОВ: "Я должен поблагодарить вас за то, что вы вызволили меня из Парижа.\nДавайте больше никогда не будем об этом говорить."
S07:VOLKOV_DEAD_AGAIN|Волков был серьезно поврежден, но мы можем его восстановить. У нас есть технология.
S07:VOLKOV_DEAD1|Волков был ранен. Он вернется на поле боя после восстановления.
S07:VOLKOV_UNLOCKED|Волков восстановлен и теперь находится в вашем распоряжении. Вы можете найти его в казарме.
S07:YOU|ВЫ
S07:ZTEXT|=======================================================================
S08:01|Пси маяк А уничтожен.
S08:02|Пси маяк Б уничтожен.
S08:03|Пси маяк В уничтожен.
S08:04|Задание выполнено.
S08:05|Товарищ Генерал, Волков и Чицкой перебрасываются в Сталингтон.
S08:05A|Предатель Владимир взял под контроль все наши пси маяки на Восточном побережье.
S08:05B|Ему удается контролировать разум как союзных, так и советских войск.
S08:05C|Мы полагаем, что он скрывается в Белом доме, доме разврата.
S08:05D|ВОЛКОВ: "Еще один предатель сталинского наследия... Покажите его мне!"
S08:06|Задание: Уничтожить силы предателя.
S08:07|WIN PLACEHOLDER
S08:08|ВНИМАНИЕ - Владимир активировал Железный Занавес!
S08:09|ВНИМАНИЕ - Район Капитолия очень хорошо защищен. Будет разумно избегать его.
S08:10|Волков был ранен. Мы вытащим его с поля боя.
S08:11|Волков восстановился. Теперь вы можете найти его в казарме.
S08:12|Волков был тяжело ранен, и его пришлось эвакуировать с поля боя.
S08:13|Чицкой был ранен. Мы заберем его с поля боя.
S08:14|Чицкой восстановился. Теперь вы можете найти его в казармах.
S08:15|Чицкой был тяжело ранен, и его пришлось эвакуировать с поля боя.
S08:16|Теперь вы можете обучать загрязнителей. Они будут эффективны против наземных отрядов.
S08:17|Теперь вы можете производить китайскую технику и снаряжение,\nкоторой вам довелось пользоваться во Владивостоке.
S08:18|Эти пленники хотят сражаться за нас. Найдите им применение, командир.
S08:19|Пси маяк Г уничтожен.
S08:20|Некоторые наши танки Апокалипсис с Урала прибыли в Вашингтон.\nИспользуйте их по назначению.
S08:21|???: "Мы враги, но в данный момент враг у нас общий, я буду сражаться с вами на одной стороне."
S08:22|Командующий, с нами связался офицер союзников из окрестностей\nСталингтона и согласился сражаться вместе с нами.
S08:23|Миротворец альянса получил ранения. Он будет доставлен на допрос.
S08:24|???: "Моё имя - Шепард. Я прошу выслушать меня."
S08:25|Бистро Св. Марка
S08:26|Примечательные Нот-Доги Нуука!
S08:27|Агент НКВД
S08:28|Лейтенант Шепард
S08:29|Грузовик НКВД
S08:30|Фургон НКВД
S08:31|Китайцы предоставили вам в пользование Стайную атаку. Используйте ее, чтобы смести вражеские отряды пехоты.
S08:32|Теперь у вас есть доступ к Элитным резервам, если возникнет такая необходимость.
S08:33|???: "Если сомневаешься, не ешь!"
S08:34|???: "Они сделаны из кошачьего мяса, у нас не осталось собак!"
S08:35|???: "Ого огромный ламантин!"
S08:36|???: "Давай-ка прибавим оборотов!".
S08:37|???: "Томми Версетти? Ха, не думал, что его когда-нибудь выпустят."
S08:38|Штаб-квартира НКВД
S08:39|Здесь НКВД было поручено отлавливать лиц с "особыми мыслительными способностями"...
S08:40|Осторожнее, товарищ. В этих водах водятся опасные твари.
S08:41|Нам удалось получить чертежи Ястреба Союзников из этой лаборатории.
S08:42|Командный дирижабль Владимира цел.\nМы позаботимся о его сохранности, поскольку он может оказаться полезным в дальнейшем.
S08:43|Будьте осторожны, товарищ. Он без малейшего сомнения бросит в нас все и вся, что у него есть.
S08:44|Хамви
S08:45|Скоординированная атака на маяки на восточном побережье была успешной,\n
S08:45A|но нам предстоит еще многое сделать.
S08:46|Из-за исчезновения Юрия и приказа премьера Романова мы были вынуждены разыграть наши карты.
S08:47|ВОЛКОВ: "Ты хорошо сражаешься, американец. А теперь прикажи своим солдатам сложить оружие."
S08:48|ВОЛКОВ: "У нас приказ сохранить вам жизнь. Считайте, что вы в безопасности, по крайней мере - пока."
S08:49|ВОЛКОВ: "Эти Маяки - угроза большая, чем вы. У нас теперь общий враг."
S08:50|Лейт. ШЕПАРД: "Значит, перемирие. Но есть одна проблема, о которой нужно позаботиться."
S08:51|Товарищ Генерал, наши американские... партнеры сообщили нам о местонахождении своего президента.
S08:52|Борис и Моралес незамедлительно отправятся в Сан-Антонио. Там можно заключить с американцами договор.
S08:53|СОЛДАТ: "Вас признали виновным в преступлениях против бургеров. Как будете оправдываться?"
S08:54|ГРАЖДАНСКИЙ: "...Я БЫЛ ГОЛОДЕН!".
S08:55|Театр Форда
S08:56|Местная советская база была освобождена от влияния Маяка. Она перешла под ваше командование.
S08:TEXT|=======================================================================
S09:01|- ТРИНИТИ, ШТАТ НЬЮ-МЕКСИКО -
S09:02|Водитель ДРАКУВа: "Танки Абрамс приближаются с тыла!"
S09:03|БОРИС: "Он уходит!"
S09:04|МОРАЛЕС: "Мы должны уничтожить это, прежде чем на Дугана окажется воздействие."
S09:05|Борис погиб в бою - МИССИЯ ПРОВАЛЕНА
S09:06|БОРИС: "Одной заботой меньше. Идем дальше."
S09:07|ПРЕЗИДЕНТ ДУГАН: "Я разорву тебя на куски, если придется!"
S09:08|МОРАЛЕС: "Он теряет управление!"
S09:09|ПРЕЗИДЕНТ ДУГАН: "Твой путь заканчивается здесь, красная сволочь!"
S09:10|Моралес погиб в бою - МИССИЯ ПРОВАЛЕНА
S09:11|Дракув был уничтожен - МИССИЯ ПРОВАЛЕНА
S09:12|ВНИМАНИЕ - Неопознанные солдаты приближаются к вашим позициям!
S09:13|ПРЕЗИДЕНТ ДУГАН: "Вы не доживете до завтра, проклятые комми!"
S09:14|Наверняка это дело рук Юрия, похоже что он раскусил наш план, дела плохи, товарищ!
S09:15|ПРЕЗИДЕНТ ДУГАН: "Поймай меня, если сможешь, советская дрянь!"
S09:16|Солдат: "Что это за штуки?!"
S09:17|Водитель ДРАКУВа: "Его машина уничтожена. Теперь он наш, прикончите оставшихся!"
S09:18|ПРЕЗИДЕНТ ДУГАН: "Мне нужны подкрепления немедленно!"
S09:19|МОРАЛЕС: "Ёще и эти магнитные спутники? Как они вообще должны нам помочь?"
S09:20|???: "ХРОНОСФЕРА ЗАРЯЖАЕТСЯ. МЕСТО НАЗНАЧЕНИЯ: Г"
S09:21|???: "ХРОНОСФЕРА ЗАРЯЖАЕТСЯ. МЕСТО НАЗНАЧЕНИЯ: Б"
S09:22|???: "ХРОНОСФЕРА ЗАРЯЖАЕТСЯ. МЕСТО НАЗНАЧЕНИЯ: В"
S09:23|Товарищ генерал, подземный бункер президента должен находится в Сан-Антонио.
S09:24|Наши силы будут отвлекать силы американцев небольшими стычками за пределами города.
S09:25|Несмотря на то что они нас ждут, будет предпринята попытка сделать все тихо.
S09:25A|Если это не удастся, мы возьмем город штурмом и сравняем его с землей.
S09:26|Оперативной группе Конфедерации удалось незаметно проникнуть на территорию.
