LOADMSG:FASHES|Операция: Пепел, Место: Казахстан
LOADBRIEF:FSTORM|Задача 1: Помочь силам Эпсилон ликвидировать базу США.\nЗадача 2: Ждать дальнейших указаний.\nПримечание: Рашиди не должен быть убит.
LOADMSG:FSTORM|Операция: Говорящий с Ветром, Место: Карибские острова, Виргинские острова.
FSTORM:A00|.. -....- -. . . -.. -....- .... . .-.. .--.
FSTORM:A01|Внимание! Обнаружен сигнал специального диапазона частот, выполняется анализ содержимого...
FSTORM:A02|Это сигнал бедствия от Рашиди... Соединение...
FSTORM:A03|Рашиди: «На связи... VOLKNET.»
FSTORM:A04|Рашиди: «Я захватил 2 военных аванпоста США и подключился к вашему спутнику через коды радаров».
FSTORM:A05|Рашиди: «Новый "Прозелит" Пси-Корпуса был послан сюда вернуть базу, но его способности, не впечатляют…»
FSTORM:A06|Рашиди: "У американцев есть хорошо укрепленные базы в этих местах. После того, как они будут уничтожены,
FSTORM:A08|Рашиди: "Силы Эпсилон считают, что создание базы здесь имеет большое стратегическое значение, а мне нужна
FSTORM:A10|Рашиди: "После того как союзники получили технологию управления погодой и отступили, дислоцированные здесь
FSTORM:A12|Рашиди: «Несмотря на то, что броня танков Пси-корпуса сильнее, чем у нашей организации «Ячейки Скорпион»,
FSTORM:B00|Рушди: «Прозелит не знают о нашем существовании, а уничтожение его сил может побудить его послать
FSTORM:B02|Рашиди: "Я не очень хорош как командир, мне нужна ваша помощь, все мои силы теперь под вашим командованием."
FSTORM:B03|--- Соединение с полем боя ---
FSTORM:B04|Рашиди: "Наши техники успешно откалибровали некоторые разведспутники в этом районе с помощью старых радаров."
FSTORM:B05|Рашиди: «Может постройка самолетов и лучший выбор для боя с линкорами, но у меня всего несколько «Призраков».
FSTORM:B06|Рашиди: "Копия "Кулака Сталина" ...... прибыла, для поддержки этой в этой миссии. "
FSTORM:B07|--- Проводится оценка поля боя --- Предвидя необходимость проведения десантных операций,
FSTORM:B09|Рашиди: «Это подвесной двигатель танка "Каппа"? Я действительно впечатлен...»
FSTORM:B10|Рашиди: "Я модифицировал "Разносчик Чумы", тем же двигателем из танков "Каппа", теперь он может левитировать."
FSTORM:B11|Рашиди: "Восполните недостаток осадных кораблей амфибийными "Разносчиками Чумы"."
FSTORM:C00|--- Идет оценка поля боя --- Не хватает кораблей ПВО, на терминал загружен чертеж "Морского Волка".
FSTORM:C01|--- Подкрепление прибыло ---
FSTORM:C02|Рашиди: "У меня все еще есть часть китайского арсенала, они поддержат вас в этой операции."
FSTORM:C03|Рашиди: «Прибыла группа войск "Ячейки Скорпион", включая "Лазутчиков". Мы не одни в этой борьбе!»
FSTORM:C04|Внимание! Авангард Пси-Корпуса прибыл на поле боя.
FSTORM:C05|Внимание! Основные силы Пси-Корпуса прибыли на поле боя.
FSTORM:C06|Внимание! Осадные силы Пси-Корпуса прибыли на поле битвы.
FSTORM:C07|Первый водитель Магнетрона: «Эй! У меня болит живот. Рядом есть туалет?»
FSTORM:C08|Второй водитель Магнетрона: «Смотрите! Там на базе несколько туалетов!»
FSTORM:C09|Третий водитель Магнетрона: «Чертова фляга "Ячейки Скорпионов", какого черта они в нее насыпали!?»
FSTORM:D00|Рашиди: "Три "Магнетрона" с доставкой до двери! Бывает же такое? Здесь есть туалет?"
FSTORM:D01|Рашиди: «Мы перехватили информацию, что этот Прозелит пытается форсировать атаку, установив Пси-Маяк».
FSTORM:D02|Рушди: "Этот неопосвященный, похоже, возлагает все свои надежды на Пси-Маяк ......".
FSTORM:D03|Рашиди: «Возможно, это мой единственный шанс получить МСЦ Эпсилон.
FSTORM:D05|Рашиди: «Похоже, что они контролируют три передовые базы США на острове».
FSTORM:D06|Внимание! Пси-Маяк вот-вот активируется.
FSTORM:D07|Рашиди: "Хм, они отказались от строительства базы на левой стороне заменив ее контролем сознания базы США!"
FSTORM:D08|Внимание! Пси-Корпус начал рейд на военную базу США на северо-западе.
FSTORM:D09|Рашиди: «Расположение этого Пси-Маяка относительно безопасно... но все равно уделите внимание его защите».
FSTORM:E00|Пси-Маяк был уничтожен, и Прозелит отказался от атаки! МИССИЯ ПРОВАЛЕНА.
FSTORM:E01|Внимание! Потерян старый Радар, пытаюсь восстановить стабильность сигнала ......
FSTORM:E02|Рашиди: "Мы потеряли старый Радар, другой наш Радар имеет очень ограниченный сигнал для передачи и приема,
FSTORM:E04|Внимание! Сигнал с полем боя слабый, идет повторная стабилизация сигнала ......
FSTORM:E05|Рашиди был убит! МИССИЯ ПРОВАЛЕНА.
FSTORM:E06|Все радары были уничтожены! Мы потеряли связь с Рашиди! МИССИЯ ПРОВАЛЕНА.
FSTORM:E07|Рашиди: «Наши спутники обнаружили, что большое количество войск сил Эпсилон вот-вот прибудет в этот район».
FSTORM:E08|Рашиди: «Техники рассчитали время, когда они прибудут сюда для уничтожения линкоров и пушек».
FSTORM:E09|Рашиди: «После того, как они будут уничтожены, они отправят десантный отряд для зачистки базы».
FSTORM:F00|Времени до прибытия сюда следующей волны войск сил Эпсилон:
FSTORM:F01|Рашиди: " Транспортные средства "Шакал" были оснащены мощными токсинными пушками,
FSTORM:F03|Рашиди: «Вторая волна флота Эпсилон собирается атаковать, в их рядах большое количество десантных сил».
FSTORM:F04|Рашиди: "Будьте осторожны! Разведка показывает, что американские силы здесь подготовили большое количество
FSTORM:F06|Внимание! Союзники вызвали эскадрилью бомбардировщиков «Барракуда».
FSTORM:F07|Рашиди: «Разведка докладывает, что этот Прозелит, похоже, понимает, что потери при осаде слишком велики…»\n
FSTORM:F08|Рашиди: «После уничтожения береговой обороны противника он мобилизует войска для десантной операции».
FSTORM:F09|--- Все орудия береговой обороны уничтожены ---
FSTORM:F10|--- Все линкоры в прибрежной зоне уничтожены ---
FSTORM:F11|Рашиди: "Чрезвычайная ситуация. Мы сильно нуждается в средствах, мобильная шахта нам в этом поможет."
FSTORM:G00|Рашиди: "Мобильная шахта была одним из совместных проектов, над которым мы с Юрием работали до этих событий.
FSTORM:G02|Рашиди: «К сожалению, образцы для сил Эпсилон были оснащены новым вооружением.
FSTORM:G04|Инженер: (шепотом) "Шахта исчезла ......".
FSTORM:G05|Внимание! Пляжный десант Пси-Корпуса прибыл на поля боя.
FSTORM:G06|Внимание! Под землей обнаружены сильные вибрации.
FSTORM:G07|Рашиди: «Военные США отказались охранять эту базу, разведка показывает, что МСЦ Эпсилон вот-вот прибудет».
FSTORM:G08|--- МСЦ сил Эпсилон прибыл ---
FSTORM:G09|Рашиди: «МСЦ был уничтожен, и мы потеряли прекрасную возможность!» МИССИЯ ПРОВАЛЕНА.
FSTORM:G10|Внимание! Пси-Корпус пытается создать форпост на заброшенной базе союзников.
FSTORM:G11|Рашиди: «МСЦ сил Эпсилон успешно развернут, и наши "Инженеры" вот-вот прибудут и захватят Сборочный Цех».
FSTORM:H00|Рашиди: "Ожидайте, что силы Эпсилон обнаружат и атакуют нас после захвата Сборочного Цеха, будьте готовы".
FSTORM:H01|--- Сборочный Цех был захвачен ---
FSTORM:H02|Рашиди: "Странно, но они на нас не нападали" ...... Стоп!?"
FSTORM:H03|Рашиди: "Они создали "Подчинитель" и перегрузили его!"
FSTORM:H04|Рашиди: "Зафиксирована огромная концентрация психических сил вблизи старого Радара, уже слишком поздно!"
FSTORM:H05|--- Все радары потеряны, связь прервана ---
FSTORM:H06|--- Анализ лучшего решения... Запрос одобрения лидером реализации Плана 66 ---
FSTORM:H07|Юнру (наблюдавшая за всей битвой со стороны): "Если это единственный способ ... что ж, одобряю".
FSTORM:H08|--- 3 часа спустя ---
FSTORM:H09|Командующий Тихоокеанским Фронтом: "... Вызовите сюда отряд материально-технического обеспечения!
FSTORM:I00|Внимание! Обнаружена Артиллерийская Установка "Зефир".
FSTORM:I01|Рашиди: "Разведка показывает, что союзники разместили на одном из островов большое количество артиллерийских
FSTORM:I03|Адъютант Тихоокеанского Фронта: "Командир, мы получаем сообщения ......".
FSTORM:I04|Командующий Тихоокеанского Фронта: «Подождите, разве вы не видите, что я занят?!»
FSTORM:I05|Адъютант Тихоокеанского Фронта: «...Это наш особый диапазон частот...»
FSTORM:I06|Командующий Тихоокеанского Фронта: «Это особый диапазон частот Сопротивления... Каково содержание сигнала?»
FSTORM:I07|Адъютант Тихоокеанского Фронта: «Выполнить План 66… Командующий, войска готовы».
FSTORM:I08|Командующий Тихоокеанским Фронтом: "Этот день уже наступил ... Мой друг, пожалуйста, позвольте вашим войскам
FSTORM:I10|Командир американского сопротивления: "Я в шоке! Это мятеж".
FSTORM:J00|Адъютант Тихоокеанского Фронта: «Сопротивление отправило запрос на удаленное соединение».
FSTORM:J01|Командующий Тихоокеанским Фронтом: "Здравствуй, VOLKNET, я командир Тихоокеанской базы управления погодой."
FSTORM:J02|Командующий Тихоокеанским Фронтом: "Остальное обсудим позже. Флот сил Эпсилон приближается.
FSTORM:J04|Командующий Тихоокеанским Фронтом: «Я проанализирую и поделюсь всей информацией позже, во время битвы».
FSTORM:J05|Командующий Тихоокеанским Фронтом: «Эти войска и производственные здания теперь под вашим командованием».
FSTORM:J06|Адъютант Тихоокеанского Фронта: «Построены дополнительные "Оперативные Центры"».
FSTORM:J07|Адъютант Тихоокеанского Фронта: «Построены дополнительные "Взлетные Полосы"».
FSTORM:J08|Командующий Тихоокеанским Фронтом: «Внимание VOLKNET, я собираюсь поделиться с вами всей информацией».
FSTORM:J09|Командующий Тихоокеанским Фронтом: "Несколько месяцев назад с нами связались силы Антарктической экспедиции
FSTORM:K00|Командующий Тихоокеанским Фронтом: "Вы уже знаете, что произошло дальше. Сейчас Рашиди на своей базе сражается
FSTORM:K02|Командующий Тихоокеанским Фронтом: «Устройство Управления Погодой переведено в режим глубокой зарядки.
FSTORM:K04|Командующий Тихоокеанским Фронтом: "Мы попытаемся установить связь с Рашиди, но до тех пор главной задачей
FSTORM:K06|Адъютант Тихоокеанского Фронта: «Командир, к нам приближается американский флот сопротивления».
FSTORM:K07|Командующий Тихоокеанским Фронтом: "Американский командир, который только что сбежал, мог связаться
FSTORM:K09|Командующий Тихоокеанским Фронтом: "Как только они прибудут сюда, мы будем сыром в их бутерброде из булок
FSTORM:K11|Времени до прибытия американского сопротивления в эту зону:
FSTORM:K12|Адъютант Тихоокеанского Фронта: «Американский командир еще не сбежал! Остановите его!»
FSTORM:K13|Адъютант Тихоокеанского Фронта: "Отлично сработано, похоже, что американский командир не установил контакт
FSTORM:K15|Задача: Защитить Устройство Управления Погодой.
FSTORM:L00|Адъютант Тихоокеанского Фронта: «Мы специально зашифровали командный сигнал,
FSTORM:L02|Командир американских повстанцев: "Наконец-то мы вернулись, и это здорово, что мы вернулись ...".
FSTORM:L03|Внимание! Прибыл флот американских повстанцев.
FSTORM:L04|Командующий Тихоокеанским Фронтом: «Артиллерия «Зефир» на базе обеспечит вам огневую поддержку».
FSTORM:L05|Устройство Управления Погодой было уничтожено! МИССИЯ ПРОВАЛЕНА.
FSTORM:J12|Командующий Тихоокеанским Фронтом: "По их совету здесь были размещены силы американского сопротивления, а
FSTORM:L06|Внимание! Обнаружены три отставших "Магнетрона".
FSTORM:L07|Совет: Нацеливание "Зефира" теперь работает и в водной среде, причем отдельно от наземного.
FSTORM:L08|Внимание! К этой области приближается большое количество летающих устройств!
FSTORM:L09|Внимание! Флот сил Эпсилон приближается!
FSTORM:L10|Внимание! Большое количество десантных войск прибыло на поле боя!
FSTORM:M00|Внимание! Обнаружен флагманский корабль для осады!
FSTORM:M01|Адъютант Тихоокеанского Фронта: «Построены дополнительные Тех.Центры».
FSTORM:M02|Задача: Уничтожить "Большие Пушки" и Линкоры "Трезубец".
FSTORM:M03|Задача: Уничтожить главную военную базу США.
FSTORM:M04|Задача: Сохранить хотя бы один старый Радар.
FSTORM:ZEPHYROBOTW|Робот Позиционирования (водный)
FSTORM:M05|Внимание! Обнаружено сильное сотрясение почвы!
FSTORM:M06|Внимание! Вражеские силы начали свою самую мощную волну атаки!
FSTORM:M07|Командующий Тихоокеанским Фронтом: "Похоже, те европейские ребята не все вооружение забрали".
FSTORM:M08|Командующий Тихоокеанским Фронтом: «Хорошо! Военная база США освободилась от контроля над разумом!»
FSTORM:M09|????: "Подождите, не запускайте...! "
FSTORM:N00|Адъютант Тихоокеанского Фронта: «Рашиди ответил нам! Он очень зол...»
FSTORM:N01|Рашиди: «Ох... Я не ожидал, что ты станешь резервом Восстания...»
FSTORM:N02|Рашиди: "Благодаря вашему отвлекающему маневру, я смог защитить Сборочный Цех и основать эту базу."
FSTORM:N03|Рашиди: "Согласно моим предыдущим исследованиям, Пси-Маяки на самом деле являются контейнерами
FSTORM:N05|Рашиди: «Поэтому я тайно разработал нейротоксин, способный противостоять контролю над разумом».
FSTORM:N06|Рашиди: "Перед тем как покинуть Бисау, я взял с собой все что мне было необходимо для производства токсина,
FSTORM:N08|Рашиди: "Он способен противостоять глобальному контролю разума, и будет нашим козырем против сил Эпсилон".
FSTORM:N10|Рашиди: "Вы только что взорвали один из Пси-Маяков, у нас нет выбора, кроме как захватить другой".
FSTORM:N11|Рашиди: «После захвата Пси-Маяка, нужно обеспечить его безопасность, уничтожьте все силы противника».
FSTORM:N09|Рашиди: "Мне нужен Пси-Маяк, чтобы снабдить Фабрику Нейротоксинов клетками мозга, которые послужат антигеном".
FSTORM:O01|Рашиди: "Защитите хотя бы три завода по производству нейротоксинов, у меня нет времени на их восстановление!"
FSTORM:O02|Командующий Тихоокеанским Фронтом: «Нам нужно помочь Рашиди. Эта база США теперь под вашим командованием».
FSTORM:O03|Задача: Захватить Пси-Маяк.
FSTORM:O04|Задача: Защитить Фабрики Нейротоксинов.
FSTORM:O05|Рашиди: "Но это также дает нам новую идею для нашей атаки".
FSTORM:O06|Рашиди: «Вы можете приземлиться сюда, сотрудничать с наземными наступающими войсками управляемые
FSTORM:O08|Рашиди: «Избегайте гигантской артиллерийской установки, чтобы уменьшить ненужные потери».
FSTORM:O09|Задача: Уничтожить все силы противника.
FSTORM:BASIL|Василиск "Ячейки Скорпион"
FSTORM:O10|--- Пси-Маяк был захвачен ---
FSTORM:P01|Рашиди: «Отлично! Войска сил Эпсилон здесь больше не представляют для нас угрозы!»
FSTORM:P00|--- Силы Пси-Корпуса покинули все свои базы и отступили ---
FSTORM:P02|Рашиди: "Мне жаль, но это долгое путешествие, и я не смогу взять с собой в эту поездку эту важную информацию".
FSTORM:P03|Командующий Тихоокеанским Фронтом: "... Что же, ради Сопротивления мы будем защищать ее до конца".
FSTORM:P04|Рашиди: "Брат, ты знаешь, что будет дальше ... Эти нейротоксины теперь в твоем распоряжении".
FSTORM:P05|Рашиди: "Я связался с Малвером, он проинструктирует вас, как наладить производство нейротоксинов".
FSTORM:P06|Рашиди: «Освобожденные американские войска присоединились к нам!»
FSTORM:P07|Рашиди: «Мы потеряли слишком много фабрик по производству нейротоксинов!» МИССИЯ ПРОВАЛЕНА.
FSTORM:Q00|Последний Пси-Маяк уничтожен! МИССИЯ ПРОВАЛЕНА.
FSTORM:Q02|Рашиди: «Берегите огонь надежды, мы рано или поздно вернёмся…»
FSTORM:Q01|Командующий Тихоокеанским Фронтом: "Садитесь на самолет, мои войска расчистят вам путь, берегите себя ...".
FSTORM:Q03|--- Миссия выполнена, линия временной связи отключена ---
FSTORM:Q04|--- После нескольких дней отдыха для войск Рашиди... ---
POST:FSTORM|Рашиди: «Благодаря вам анализ нейротоксинов завершен. Но, в\nцелях безопасности, я сохраню все данные там, на Вингирских\nостровах, вместе с технологией управления погодой. Большое\nспасибо местным войскам, без них я бы не ушёл от погони».
FSTORM:Q05|Рашиди: "Фабрика Нейротоксинов уничтожена! Мы не можем позволить себе потерять все!"
FSTORM:Q06|Рашиди: "Василиски Эпсилона оснащены излучателями пси-энергии, а наши прототипы не имеет подобного оружия...".
FSTORM:Q07|Рашиди: "Как вам Василиск "Ячейки Скорпион"! Разве ядовитые бомбы Тирана не сильнее психической энергии?!"
FSTORM:Q08|Внимание! Обнаружен "Подчинитель".
FSTORM:Q09|Внимание! Обнаружен "Генератор Ярости".
FSTORM:R00|Адъютант Тихоокеанского Фронта: «Разведка показывает, что в этот район вошло большое количество наземных
FSTORM:R02|Адъютант Тихоокеанского Фронта: "Часть наших финансов было передано VOLKNET".
FSTORM:R03|Адъютант Тихоокеанского Фронта: «Пришла очередная партия средств, проверьте, пожалуйста».
FSTORM:R04|Совет: Захват оставленной техники и технических зданий значительно ослабит давление на оборону здесь.
FSTORM:R05|Рашиди: "Нейротоксин сохраняет наше сознание даже под контролем разума, но силы Эпсилон видят в нас своих".
FSTORM:R06|Рашиди: «Хотите сменить голосовой пакет Адъютанта? У меня есть один, в стиле Эпсилон. Вы можете его услышать».
FSTORM:A07|этот "Прозелит" развернет МСЦ для создания баз в обоих местах."
FSTORM:A09|полноценная база, чтобы завершить мои последние исследования нейротоксина."
FSTORM:A11|войска Тихоокеанского Фронта совместно с местным американскими силами восстановили контроль над территорией."
FSTORM:A13|они все равно не более чем груда хлама для этих гигантских пушек и линкоров».
FSTORM:B01|дополнительные войска для нападения на военные базы США».
FSTORM:B08|в терминал загружены чертежи "Черных Орлов", танков "Каппа" и "Роботанков".
FSTORM:D04|Защитите Пси-Маяк. Если он будет уничтожен, Пси-Корпус прекратит атаку!»
FSTORM:E03|связь с управлением полем боя будет крайне нестабильной."
FSTORM:F02|они будут использоваться для уничтожения всех наступающих сил врага. "
FSTORM:F05|воздушно-десантных резервов для подготовки к контр-десантным высадкам!"
FSTORM:G01|Мы заключили с ним контракт на поставку "Сердец Химеры". В обмен мы предоставили прототип мобильной шахты."
FSTORM:G03|Наши же прототипы могут использовать только дымовые гранаты и дрели для защиты».
FSTORM:H10|Американский командир отступает со своими войсками ...".
FSTORM:I02|установок "Зефир", остерегайтесь их прицельной бомбардировки!"
FSTORM:I09|следовать за нами, я могу гарантировать вашу личную безопасность."
FSTORM:J03|Пожалуйста, помогите мне защитить "Устройство Управления Погодой". "
FSTORM:J10|"Парадокса", которые направили своего командира для помощи в охране территории. Тем самым мы получили доступ
FSTORM:J11|ко всем исследовательским данным "Устройства Управления Погодой"."
FSTORM:J13|на островах была создана военно-морская база для подготовки к контрнаступлению на американский континент."
FSTORM:K01|насмерть, а другая база США находится под контролем разума сил Эпсилон."
FSTORM:K03|После полной зарядки оно напрямую поразит Пси-Маяк».
FSTORM:K05|является обеспечение безопасности Устройства Управления Погодой."
FSTORM:K08|с ними и сообщить им о нашем "повстанческом" поведении."
FSTORM:K10|с обеих сторон, так что приготовьтесь к ожесточенному бою."
FSTORM:K14|с подкреплением, которое теперь сможем использовать мы."
FSTORM:L01|поэтому можно не беспокоиться что его прервут или перехватят».
FSTORM:N04|и передатчиками сигналов для искусственных клеток мозга. У меня уже были опасения по поводу Юрия..."
FSTORM:N07|но только сейчас мне удалось восстановить четыре завода по производству нейротоксина".
FSTORM:O07|разумом вооруженных сил США и атаковать военную базу США сбоку».
FSTORM:R01|войск, и они, вероятно, нападут непосредственно на объект защиты!»
LOADMSG:FWANDER|Операция: Странствие, Место: Иваидзуми, Хонсю, Япония.
LOADBRIEF:FWANDER|Задача 1: Защитить Юнру.\nЗадача 2: Уничтожить все силы противника.
BRIEF:FWANDER|После успешного получения исследовательских данных о новом типе оружия с использованием технологии столкновения частиц, "Железнокрылый" совершает посадку на технологической базе промышленного комплекса Канагавы для капитального ремонта и технического обслуживания, чтобы гарантировать, что наш "Лидер" достигнет места сбора сил "Великого Сопротивления" без происшествий. Однако силы Эпсилон в ближайших окрестностях начинают проявлять активность.\n\nЗадача 1: Защитить Юнру.\nЗадача 2: Уничтожить все силы противника.
POST:FWANDER|...
FWANDER:01|- Через неделю после успешного получения технологии столкновения частиц -
FWANDER:02|Чтобы гарантировать, что "Лидер" успешно достигнет точки сбора основных сил,
FWANDER:03|"Наши" друзья из "Канагава Индастиз" проводят последние приготовления к взлету "Железнокрылого".
FWANDER:04|Силы Эпсилон, очевидно, отследили базу комплекса, и захотят уничтожить ее любой ценой.
FWANDER:05|А пока "нам" нужно убедиться, что Юнру в безопасности.
FWANDER:06|--- Соединение с полем боя ---
FWANDER:07|Эти заводы в Канагаве позволят "нам" производить прототипы оружия, постарайтесь не допустить их уничтожения.
FWANDER:08|Юнру: "Некоторые чертежи оружия были интегрированы в этот технический центр и теперь доступны".
FWANDER:09|Подсказка: "Ледяной Щит" обеспечит дополнительную защиту для вашего транспорта.
FWANDER:10|Внимание! Приближаются вражеские войска!
FWANDER:11|Внимание! Обнаружена необычная подземная активность!
FWANDER:12|Подготовка к взлету была завершена, Юнру готова сесть на "Железнокрылого".
FWANDER:13|Юнру: "Падение этого места - вопрос времени, после уничтожения вражеских сил, соединитесь с основными силами".
FWANDER:14|Цель достигнута. Юнру благополучно покинула это место.
FWANDER:15|Внимание! Аванпосты за пределами базы атакованы!
FWANDER:16|Задача 1: Защитить Юнру.
FWANDER:17|Времени до завершения подготовки "Железнокрылого" к взлету:
FWANDER:18|"Наши" друзья из "Канагава Индастриз" прислали несколько подкреплений для "нас".
FWANDER:19|На заставу прибыло подкрепление Тихоокеанского Фронта.
FWANDER:20|Внимание! Радарные системы были заглушены, "мы" лишены связи с внешними силами!
FWANDER:21|Юнру погибла. МИССИЯ ПРОВАЛЕНА.
FWANDER:22|Внимание! Сзади базы появляются вражеские войска!
FWANDER:23|Внимание! Обнаружены Дирижабли "Киров"!
FWANDER:24|Обнаружены устройства, которые являются источниками генерации сигналов помех ......
FWANDER:25|Если главная башня будет уничтожена, мы сможем восстановить связь с "нашими" основными силами.
FWANDER:26|Стоит отметить, что неподалеку также дислоцируются некоторые контролируемые разумом китайские войска.
FWANDER:27|Войска Эпсилон хотят подавить «нас» численно, «нам» необходимо принять контрмеры.
FWANDER:28|Союзники из "Канагава Индастриз" будут использовать свои оставшиеся ресурсы, чтобы помочь "нам".
FWANDER:29|Задача 2: Уничтожить все силы противника.
FWANDER:30|Главная диспетчерская вышка разрушена, связь восстанавливается...
FWANDER:31|«Мы» получили спутниковую карту этой местности,
FWANDER:32|а также мощный экспериментальный боевой корабль будет поддерживать "нашу" операцию.
FWANDER:33|Даже после уничтожения Пси-Маяка, эти китайские войска не захотели присоединиться к "нам".
FWANDER:34|Внимание! Обнаружен "Подчинитель"!
FWANDER:35|Подсказка: Захватите эти зоны, чтобы получить дополнительные ресурсы.
FWANDER:36|Похоже, что в этой лаборатории сохранились некоторые лазерные технологии американских военных.
FWANDER:37|Все вражеские войска уничтожены, цель достигнута.
FWANDER:38|"Мы" теперь можем в любой момент использовать "Предвестника" для бомбардировки вражеских баз.
FWANDER:39|Теперь "мы" можем производить Вертолеты "Ястреб".
FWANDER:40|МИССИЯ ПРОВАЛЕНА.
FWANDER:41|??? :"Сила ветра в вашем распоряжении!"
MAP:FWANDER|Фанатская Миссия - Странствие
MAP:FMDEST|Фанатская Миссия - Марш Разрушения
POST:FMDEST|Тяжелая техника в этом районе были успешно остановлена. Стратегическое место захвачено...
FMDEST:02|Ключ к успеху этой кампании - в блокировании этих мостов.
FMDEST:01|Мы начали массированную атаку на Усилитель Контроля Разума в китайском регионе.
FMDEST:03|Ваши войска собраны по обеим сторонам реки, двигайтесь по ней и уничтожайте врагов,
FMDEST:31|Не атакуйте эту базу, пока не уничтожите охрану моста, или они помешают нам и наш план провалится!
FMDEST:M1|Задача 1: Уничтожить вражеские силы охраняющие три моста.
FMDEST:05|Мост "А" очищен от вражеских войск.
FMDEST:06|Мост "Б" очищен от вражеских войск.
FMDEST:07|Мост "В" очищен от вражеских войск.
FMDEST:M1OK|Все войска противника, охранявшие мост, были ликвидированы.
FMDEST:08|На поле боя прибыли два гигантских "Гавиала".
FMDEST:09|Прибыло несколько "Рыцарей" и "Уланов".
FMDEST:10|Силы Эпсилон используют танки "Тень". Мы отправили вам "Содар".
FMDEST:11|Это засада!
FMDEST:12|Фракция "Головы Акулы" предоставляет два танка "Скат", используйте их против вражеских строений!
FMDEST:13|Враг обнаружил вашу попытку. Они запросили подкрепление для обороны.
FMDEST:14|Времени до перехода сил противника в оборону:
FMDEST:15|Вражеская база была уничтожена преждевременно. Теперь они поняли, что мы задумали. МИССИЯ ПРОВАЛЕНА.
FMDEST:16|Времени до прибытия вражеских подкреплений:
FMDEST:17|МСЦ прибыл.
FMDEST:18|Совет: МСЦ оснащен блокиратором сигналов. Если его уничтожат, враг вызовет подкрепление после перехода моста.
FMDEST:19|Времени до прибытия авангардных войск противника:
FMDEST:20|Прибыли три штурмовика "Канюк".
FMDEST:21|Прибыли две воздушных "Станции Аланка".
FMDEST:22|Прибыл танк «Мастодонт» и несколько танков «Бизон».
FMDEST:23|Враг послал танки "Тень", чтобы прорвать вашу оборону.
FMDEST:24|Вражеские силы отправили несколько летающих тарелок "Посягатель" для вторжения.
FMDEST:25|По данным разведки, силы Эпсилон мобилизовали подконтрольные китайские войска.
FMDEST:26|Силы Эпсилон послали устройство под названием "Повелитель Мысли".
FMDEST:M2|Задача 2: Уничтожить базу противника.
FMDEST:M2OK|База сил Эпсилон была ликвидирована!
FMDEST:M3|Задача 3: Уничтожить всех врагов, пытающихся убежать.
FMDEST:M3OK|Все враги были ликвидированы!
FMDEST:32|МСЦ был уничтожен.
FMDEST:28|Отряды противника пересекли мост и вызвали подкрепление. МИССИЯ ПРОВАЛЕНА.
FMDEST:29|Постройте как можно больше укреплений. Враг скоро будет здесь.
FMDEST:30|Вражеские силы перешли в оборону.
FMDEST:33|--- Соединение с полем боя, пожалуйста, подождите... ---
FMDEST:34|Мы успешно уничтожили Усилитель Контроля над Разумом. Теперь, время покончить с силами Эпсилон.
FMDEST:35|Постарайтесь избежать жертв. Потеря хотя бы одного солдата – это для нас тяжелый удар.
FMDEST:36|Как видите, противник начинает перебрасывать свою технику, разведку и инженерные разработки.
FMDEST:37|После того, как вы уничтожите базу сил Эпсилон, мы вышлем вам МСЦ.
FMDEST:39|Противник успешно прорвался. МИССИЯ ПРОВАЛЕНА.
FMDEST:38|Это выживший отряд китайского сопротивления. Они и мы воюем друг с другом, но у нас есть общий враг - Эпсилон.
FMDEST:04|но не пересекайте мост, пока не уничтожите все вражеские силы возле моста!
FMDEST:27|Имейте в виду, что многие наши силы не обладают иммунитетом к контролю разума.
BRIEF:FMDEST|Для того чтобы сбить врага столку и не дать основным силам Эпсилон помешать нашему плану по ликвидации Усилителя Контроля Разума в китайском регионе, было решено совершить диверсию и разделить их силы, так чтобы у них не было возможности связаться с подкреплением. На карту поставлено многое, у нас не так много сил для этого задания, так что используйте их с умом...\n\nЗадача 1: Уничтожить вражеские силы охраняющие три моста.\nЗадача 2: Уничтожить базу противника.\nЗадача 3: Уничтожить всех врагов, пытающихся убежать.
