DESC:ABLUT|Blut Royale (A)
TXT_TECH_MISSILE_BUNKER_CAP|Захвачен Гражданская Ракетная Шахта - Тактическая ракета готовится к запуску.
TXT_TECH_MISSILE_BUNKER_LOST|Гражданская Ракетная Шахта потеряна.
TXT_TECH_SATHACK_CAPTURED|Захвачен Центр Взлома Спутников - Получен полный вид на поле боя.
TXT_TECH_SATHACK_LOST|Центр Взлома Спутников потерян.
TXT_TECHAERONAUTICS_CAPTURED|Захвачено Авиастроительное КБ - Вся авиация производится уже в звании ветерана.
TXT_TECHAERONAUTICS_LOST|Авиастроительное КБ потеряно.
TXT_TECHBANK_CAPTURED|Захвачен Гражданский Депозитный Банк - Получен источник дополнительных ресурсов.
TXT_TECHBANK_LOST|Гражданский Депозитный Банк потерян.
TXT_TECHHOSPITAL_CAPTURED|Захвачен Гражданский Госпиталь - Вся пехота получает автоматическое лечение.
TXT_TECHHOSPITAL_LOST|Гражданский Госпиталь потерян.
TXT_TECHMACHINERY_CAPTURED|Захвачен Машиностроительный Цех - Вся техника производится уже в звании ветерана.
TXT_TECHMACHINERY_LOST|Машиностроительный Цех потерян.
TXT_TECHMACHINESHOP_CAPTURED|Захвачена Гражданская Автомастерская - Вся техника получает авторемонт.
TXT_TECHMACHINESHOP_LOST|Гражданская Автомастерская потеряна.
TXT_TECHNUKE_CAPTURED|Захвачена Гражданская Атомная Электростанция - Выработка энергии увеличена.
TXT_TECHNUKE_LOST|Гражданская Ядерная Электростанция потеряна.
TXT_TECHOIL_CAPTURED|Захвачена Нефтевышка - Получен дополнительный источник ресурсов.
TXT_TECHOIL_LOST|Нефтевышка потеряна.
TXT_TECHPOWER_CAPTURED|Захвачена Гражданская Электростанция - Получен дополнительный источник энергии.
TXT_TECHPOWER_LOST|Гражданская Электростанция потеряна.
TXT_TECHSECRETLAB_CAPTURED|Захвачена Секретная Лаборатория - Получена новая технология.
TXT_TECHSECRETLAB_LOST|Секретная Лаборатория потеряна.
TXT_TECHSUPPLY_CAPTURED|Занят Бункер Снабжения - рядом с бункером будут появляться ящики с припасами.
TXT_TECHSUPPLY_LOST|Бункер Снабжения потерян.
NAME:CAPU|Тяжелый Солдат
NAME:CYBOV|Киборг-Авангард
NAME:GAHYPE|Гиперион
NAME:NAUT|Магнитная Подлодка Наутилус
NAME:PSYCHICWAVE|Дистанционное Управление
NAME:WAVEACTIVE|ВНИМАНИЕ - Дистанционное Управление активировано!
TXT_LIGHTNING_STORM_APPROACHING|ВНИМАНИЕ - Приближается грозовой шторм!
MSG:BLACKOUTTIMER|Энергия отключена на:
NAME:CIA|ЦРУ
NAME:YAVNMMS|Генетические Мины
NAME:ARND|Арни Фрэнкфюртер
NAME:CAROAD|Бетонный Блок
NAME:TBRUTE|Громила-Титан
TXT_MOVIETHEATER|Захвачен Кинотеатр - А вот и киногерой!
NAME:CAR|Гражданская Машина
NAME:DOMINACTIVEX|ВНИМАНИЕ - Рядом с вашими позициями концентрируется большое количество ментальной энергии!
NAME:SMAMM|Танк Супер Апокалипсис
NAME:YANEUR|Фабрика Нейротоксина
NAME:3ROBO|4 Роботанка
NAME:ARRIVING|Прибытие..
NAME:BRANC|Бранский Замок
NAME:CATPAD|Площадка Сброса Подкреплений
NAME:ENROUTE|В пути
NAME:MIXER|Бетономешалка
NAME:NAPALMSTORE|Хранилище Напалма
NAME:REINFOPAD|Подкрепления
TXT_TECHREINFO_CAPTURED|Захвачена Площадка Сброса Подкреплений - Ожидайте прибытия дополнительной техники.
TXT_TECHREINFO_LOST|Площадка Сброса Подкреплений потеряна.
NAME:CTOW|Контрольная Башня
NAME:AETHER|Эфирный Факел
NAME:AMBUL|Скорая Помощь
NAME:ASW|Оспрей
NAME:BOAT|Корабль
NAME:BOBC|Бобкэт
NAME:CAARMY01A|Военная Палатка
NAME:CAARMY01B|Военная Палатка
NAME:CABARB|Колючая Проволока
NAME:CABUNK01A|Бетонный Бункер
NAME:CAGARD01A|Будка Охраны
NAME:CALA10A|Рекламный Щит Westwood
NAME:CAMISC01A|Бочки
NAME:CAMISC02A|Бочка
NAME:CAMSC07A|Хижина
NAME:CAPARS11X|Триумфальная Арка
NAME:CAPARS12X|Собор Нотр-Дам
NAME:CARS|Автомобиль
NAME:CAVAL|Средний Танк Кавалер
NAME:CAWASH18A|Фонтан
NAME:CAWOAH|Woah!
NAME:CMONO|Хроно Рудокоп (Разгружается)
NAME:COTTER|Воздушная Крепость Чицкалла
NAME:DIGG|Малый Экскаватор
NAME:DNOBB|Бронтозавр
NAME:DRLLTRCK|Буровая Машина
NAME:FAORCI|Касатка (Рабочий Режим)
NAME:FARM|Трактор
NAME:FBOAT|Рыбацкий Корабль
NAME:FCAR|Болид Ф-1
NAME:FLOAD|Погрузчик
NAME:FTRKA|Пожарная Машина
NAME:GAGATE_A|Шлагбаум
NAME:GAHPADR|Взлетная Полоса
NAME:GIGA|Гигахорс
NAME:GROOMER|Снеговыравниватель
NAME:HFTK|Вездеход
NAME:IRONWING|Железнокрыл
NAME:KALOOP|Узел Турбокольца
NAME:LCRFB|Десантный Корабль Мореход
NAME:LIBRC|Клон Либры
NAME:MACK|Тягач
NAME:MTRUCK|Бигфут
NAME:NAPSYBK|Пси-Маяк
NAME:NATBUNKER|Быстрое Укрепление
NAME:PICKK|Пикап
NAME:PLOW|Снегоуборочная Машина
NAME:PROPPL|Пропеллерный Самолет
NAME:RDROLLER|Дорожный Каток
NAME:REPORTE|Оценка Ситуации:
NAME:ROLLER|Паровой Каток
NAME:SAPCB|Десантный Корабль Зубр
NAME:SDOZ|Малый Бульдозер
NAME:SMOB|Снегоход
NAME:SPORT|Спорткар
NAME:STALL|Вертолет Жеребец
NAME:TAXII|Такси
NAME:TOW|Эвакуатор
NAME:TRUCKAA|Грузовик (Пустой)
NAME:TRUCKBB|Грузовик (с грузом)
NAME:YABRCK|Казармы Эпсилон
NAME:YACNSTA|Сборочный Цех Эпсилон
NAME:YAROCKT|Ракетная Пусковая Площадка
NAME:YAYARDA|Верфь Эпсилон
NAME:ZEPH|САУ Зефир
TXT_TECH_REF_CAP|Захвачен Гражданский Перерабатывающий Комбинат - Получен дополнительный пункт разгрузки комбайнов.
TXT_TECH_REF_LOST|Гражданский Перерабатывающий Комбинат потерян.
NAME:ABAN01|WS Logging Company
NAME:ABAN02|Panullo Hacienda
NAME:ABAN03|Заброшенный Завод
NAME:ABAN04|Сити-Хол
NAME:ABAN05|Охотничий Домик
NAME:ABAN06|Local Inn & Lodging
NAME:ABAN07|Церковь
NAME:ABAN08|Заброшенный Склад
NAME:ABAN09|Tall's Residence
NAME:ABAN10|Denzil's Last Chance Motel
NAME:ABAN11|Miele Manor
NAME:ABAN12|У Кеттлера
NAME:ABAN13|Дом Лонга
NAME:ABAN14|Местный Магазин
NAME:ABAN15|Дом Адама
NAME:ABAN16|Заправка
NAME:ABAN17|Gas Pumps
NAME:ABAN18|Знак Заправки
NAME:AEGIS|Крейсер Эгида
NAME:AFRICANS|Libya
NAME:ALL06MD|Operation: Trick or Treaty
NAME:ALLIANCE|Korea
NAME:ALLIGATOR|Аллигатор
NAME:AMBU|Скорая Помощь
NAME:AMERICANS|America
NAME:AMMOCRAT|Ящик Боеприпасов
NAME:APACHE|Гарпия
NAME:ARABS|Iraq
NAME:ATESLA|Призма-Башня
NAME:BATTLEFORTRESS|Самоходная Крепость
NAME:BBOARD01|Eat at Rade's Roadhouse
NAME:BBOARD02|Drink YEO-CA Cola!
NAME:BBOARD03|Hamburgers $.99
NAME:BBOARD04|Visit Scenic Las Vegas
NAME:BBOARD05|Rooms $29 a nite
NAME:BBOARD06|Warhouse
NAME:BBOARD07|Alkaline's Battery Superstore
NAME:BBOARD08|Alex-gators petshop just ahead!
NAME:BBOARD09|TacticX games rock!
NAME:BBOARD10|WW Surf and Turf hits the spot!
NAME:BBOARD11|Only 11 miles to Zydeko's cafe!
NAME:BBOARD12|No escape from Archer's Asylum!
NAME:BBOARD13|Stop in at Hewitt's hair salon
NAME:BBOARD14|Billy Bob's Harvester school
NAME:BBOARD15|Pannullo's hacienda es bueno
NAME:BEAGLE|Черный Орел
NAME:BLACKCAB|Лондонское Такси
NAME:BORIS|Борис
NAME:BRITISH|Great Britain
NAME:BRUTE|Громила
NAME:BUS|Школьный Автобус
NAME:CA0001|Rade's Roadhouse
NAME:CA0002|Sandberg and Son's
NAME:CA0003|Temp Housing
NAME:CA0004|Waystation
NAME:CA0005|Ferbie's 4 Sale
NAME:CA0006|Deluxe Accomodations
NAME:CA0007|Полевой Генератор
NAME:CA0008|Subterranean Dwelling
NAME:CA0009|Subterranean Dwelling
NAME:CA0010|Leary Traveller Inn
NAME:CA0011|Резервуар с водой
NAME:CA0012|Маяк
NAME:CA0013|Водоочиститель
NAME:CA0014|Наблюдательная Вышка
NAME:CA0015|Port-A-Shack
NAME:CA0016|Port-A-Shack Deluxe
NAME:CA0017|Трансформатор
NAME:CA0018|Солнечная Панель
NAME:CA0019|Солнечная Панель
NAME:CA0020|Солнечная Панель
NAME:CA0021|Солнечная Панель
NAME:CAARAY|Civilian Array
NAME:CAARMR|Civilian Armory
NAME:CAARMY01|Армейская Палатка
NAME:CABANA|Кабак
NAME:CABARN02|Сарай
NAME:CABARR|Противотанковые Баррикады
NAME:CABHUT|Станция Управления Мостом
NAME:CACHIG01|Здание
NAME:CACHIG02|Здание
NAME:CACHIG03|Здание
NAME:CACHIG04|Центр Ассоциаций Чикаго
NAME:CACHIG05|Сирс-Тауэр
NAME:CACITY01|Здание
NAME:CACITY02|Здание
NAME:CACITY03|Здание
NAME:CACITY04|Здание
NAME:CACOLO01|Академия ВВС
NAME:CAEAST01|Истукан
NAME:CAEGYP03|Сфинкс
NAME:CAEUR04|Здание
NAME:CAEUR1|Коттедж
NAME:CAEUR2|Коттедж
NAME:CAEURO05|Статуя
NAME:CAFARM01|Ферма
NAME:CAFARM02|Хранилище
NAME:CAFARM06|Маяк
NAME:CAFRMA|Фермерский Дом
NAME:CAFRMB|Туалет
NAME:CAGARD01|Будка Охранника
NAME:CAGAS01|Заправка
NAME:CAHOSP|Гражданский Госпиталь
NAME:CAHSE01|Дом
NAME:CAHSE02|Дом
NAME:CAHSE03|Дом
NAME:CAHSE04|Дом
NAME:CAHSE05|Дом на колесах
NAME:CAHSE06|Дом на колесах
NAME:CAIND01|Фабрика
NAME:CALA01|Mini Mall
NAME:CALA03|Знак Голливуда
NAME:CALA04|Амфитеатр Голливуда
NAME:CALA05|LAX
NAME:CALA06|Контрольная Башня LAX
NAME:CALA07|Кинотеатр
NAME:CALA08|Продажа Машин
NAME:CALA09|Вечерний Магазин
NAME:CALA10|Рекламный Щит
NAME:CALIT01E|Light
NAME:CALIT01N|Light
NAME:CALIT01S|Light
NAME:CALIT01W|Light
NAME:CALOND04|Британский Парламент
NAME:CALOND05|Биг Бен
NAME:CALUNR01|Лунный Модуль
NAME:CAMACH|Гражданская Автомастерская 
NAME:CAMEX01|Пирамида Майя
NAME:CAMIAM01|Отель
NAME:CAMIAM02|Отель
NAME:CAMIAM03|Отель
NAME:CAMIAM04|Будка Спасателя
NAME:CAMIAM05|Отель
NAME:CAMIAM06|Отель
NAME:CAMIAM07|Отель
NAME:CAMIAM08|Мемориал Аризоны
NAME:CAMISC01|Бочки
NAME:CAMISC02|Бочка
NAME:CAMISC03|Мусорка
NAME:CAMISC04|Почтовый Ящик
NAME:CAMISC05|Трубы
NAME:CAMISC11|Покрышки
NAME:CAMISC12|Тренировочная Мишень
NAME:CAMISC13|Брошенный Танк
NAME:CAML|Верблюд
NAME:CAMORR05|Местечко Рика
NAME:CAMOV01|Киноэкран
NAME:CAMOV02|Касса
NAME:CAMSC01|Хотдоги Мистера Ням-Ням!
NAME:CAMSC02|Зонтики
NAME:CAMSC04|Пляжные Полотенца
NAME:CAMSC06|Костер
NAME:CAMSC07|Хижина
NAME:CAMSC10|МакБургер Конг
NAME:CANEWY01|Здание
NAME:CANEWY04|Статуя Свободы
NAME:CANEWY06|Здание
NAME:CANEWY07|Здание
NAME:CANEWY08|Здание
NAME:CANEWY10|Здание
NAME:CANEWY11|Здание
NAME:CANEWY12|Здание
NAME:CANEWY13|Здание
NAME:CANEWY14|Здание
NAME:CANEWY15|Здание
NAME:CANEWY16|Здание
NAME:CANEWY17|Здание
NAME:CANEWY18|Здание
NAME:CANEWY20|Склад
NAME:CANWY09|Здание
NAME:CANWY22|Здание
NAME:CANWY23|Здание
NAME:CANWY24|Здание
NAME:CANWY25|Здание
NAME:CANWY26|Здание
NAME:CAOILD|Нефтевышка
NAME:CAOUTP|Tech Outpost
NAME:CAPARK01|Скамейка
NAME:CAPARK02|Качели
NAME:CAPARK03|Карусель
NAME:CAPARS02|Здание
NAME:CAPARS08|Здание
NAME:CAPARS09|Здание
NAME:CAPARS10|Здание
NAME:CAPARS13|Здание
NAME:CAPARS14|Здание
NAME:CAPOL01E|Телеграфный Столб
NAME:CAPOL01N|Телеграфный Столб
NAME:CAPOL01S|Телеграфный Столб
NAME:CAPOL01W|Телеграфный Столб
NAME:CAPRS04|Здание
NAME:CAPRS05|Здание
NAME:CAPRS06|Здание
NAME:CAPRS07|Телефонная Будка
NAME:CAPYR01|Пирамида
NAME:CAPYR02|Пирамида
NAME:CAPYR03|Пирамида
NAME:CARGOCAR|Грузовая Тележка
NAME:CARRIER|Авианосец
NAME:CARRIERB|Авианосец Нимиц
NAME:CARUS01|Собор Василия Блаженного
NAME:CARUS03|Кремль
NAME:CARUS04|Здание
NAME:CARUS05|Здание
NAME:CARUS06|Здание
NAME:CARUS07|Красная Площадь
NAME:CASANF04|Мост Золотые Ворота
NAME:CASANF05|Алькатрас
NAME:CASEAT01|Башня Спейс-Нидл
NAME:CASEAT02|Кампус МассивСофт
NAME:CASIN03|Знак Стройки
NAME:CASLAB|Гражданская Лаборатория
NAME:CASTL01|Здание
NAME:CASTL02|Здание
NAME:CASTL03|Здание
NAME:CASTL04|Арка
NAME:CASTL05|Стадион
NAME:CASTRT05|Автобусная Остановка
NAME:CASWST01|Здание
NAME:CASYDN02|Бургеры МакРу
NAME:CASYDN03|Здание Оперы Сиднея
NAME:CATECH01|Центр Связи
NAME:CATEXS01|Здание
NAME:CATEXS02|Аламо
NAME:CATEXS03|Здание
NAME:CATEXS04|Здание
NAME:CATEXS05|Здание
NAME:CATEXS06|Офисное Здание
NAME:CATEXS07|Офисное Здание
NAME:CATEXS08|Офисное Здание
NAME:CATIME02|Машина Времени
NAME:CATRAN01|Усыпальница
NAME:CATRAN03|Замок Юрия
NAME:CATS01|Хранилище
NAME:CAURB01|Телефонная Будка
NAME:CAURB02|Пожарный Гидрант
NAME:CAURB03|Прожектор
NAME:CAUSFGL|Флаг США
NAME:CAWA2A|Пентагон
NAME:CAWASH01|Белый Дом
NAME:CAWASH03|Здание
NAME:CAWASH04|Здание
NAME:CAWASH05|Здание
NAME:CAWASH07|Здание
NAME:CAWASH08|Здание
NAME:CAWASH10|Здание
NAME:CAWASH11|Здание
NAME:CAWASH12|Мемориал Вашингтона
NAME:CAWASH13|Здание
NAME:CAWASH15|Мемориал Линкольна
NAME:CAWASH16|Замок Смитсониан
NAME:CAWASH17|Смитсоновский Исторический Музей
NAME:CAWASH18|Фонтан
NAME:CAWASH19|Монумент Победы При Иводзиме
NAME:CAWSH08|Здание
NAME:CAWSH09|Здание
NAME:CAWSH10|Здание
NAME:CAWSH12|Мемориал Джорджа Вашингтона
NAME:CAWSH14|Мемориал Джефферсона
NAME:CAWT01|Водонапорная Башня
NAME:CBLC|Вагон Фуникулера
NAME:CDEST|Корабль Береговой Охраны
NAME:CHAOSDRONE|Дрон Хаоса
NAME:CHRONO2|Хроносдвиг II
NAME:CITY01|Connelly Court Apts.
NAME:CITY02|Lightner's Luxury Suites
NAME:CITY03|Офисное Здание
NAME:CITY04|Westwood Stock Exchange
NAME:CITY05|Daily Sun Times
NAME:CITY06|YEO-CA Cola Corp.
NAME:CITY07|Urban Housing
NAME:CITY08|Yee's Discount Liquor
NAME:CITY09|Заброшенный Склад
NAME:CITY10|Urban Storefront
NAME:CITY11|Ambrose Lounge
NAME:CITY12|Bostic Tower
NAME:CITY13|Hewitt Hair Salon
NAME:CITY14|Деловые Офисы
NAME:CITY15|Второй Национальный Банк
NAME:CITY16|Highrise Hotel
NAME:CITY17|The Projects
NAME:CITY18|Archer Asylum
NAME:CITY19|Fill'er Up-Pump'N'Go
NAME:CITY20|Gas Pump
NAME:CITY21|Gas Station Sign
NAME:CITY22|Церковь
NAME:CIV1|Гражданский
NAME:CIV2|Гражданский
NAME:CIV3|Гражданский
NAME:CIVAN|Хроно Иван
NAME:CIVILIAN_PLANE|Пассажирский Самолет
NAME:CLEG|Хроно Легионер
NAME:CMIN|Хроно Рудокоп
NAME:CONA|Экскаватор
NAME:COW|Корова
NAME:CRUISESHIP|Круизный Корабль
NAME:CTDAM|Дамба
NAME:CTECH|Техник
NAME:CTVEGA|Vega's Pyramid
NAME:CUBANFLAG|Флаг Кубы
NAME:DEST|Эсминец
NAME:DLPH|Дельфин
NAME:DMISL|Ракета
NAME:DNOA|Ти-Рекс
NAME:DNOB|Брахиозавр
NAME:DOLY|Тележка Камеры
NAME:DRED|Дредноут
NAME:DREDB|Dreadnought +3
NAME:DRON|Дрон Ужаса
NAME:E1|Солдат
NAME:E2|Призывник
NAME:EINS|Эйнштейн
NAME:EINSTEINLAB|Лаборатория Эйнштейна
NAME:FLAKT|Зенитчик
NAME:FORCESHIELD|Силовой Щит
NAME:FRANK01|Для этого режима игры нужно больше одного игрока.
NAME:FRENCH|France
NAME:FRENCHFLAG|Флаг Франции
NAME:FTRK|Пожарная Машина
NAME:GAARTY|Deployed Artillery
NAME:GACTWR|Component Tower
NAME:GADPSA|Deployed Sensor Array
NAME:GAFWLL|French Wall
NAME:GAGAP|Генератор Разрыва
NAME:GAGREEN|Зеленое Здание
NAME:GAICBM|Deployed ICBM
NAME:GAKODK|Kodiak
NAME:GAOLDCC1|Старый Сборочный Цех
NAME:GAOLDCC2|Old Temple
NAME:GAOLDCC3|Old Weapons Factory
NAME:GAOLDCC4|Old Refinery
NAME:GAOLDCC5|Old Advanced Power Plant
NAME:GAOLDCC6|Old Silos
NAME:GAPAVE|Pavement
NAME:GAPILE|Казармы Альянса
NAME:GAPILL|Д.О.Т.
NAME:GAPLUG1|Threat Rating Node
NAME:GAPLUG2|Seeker Control
NAME:GAPLUG3|Ion Cannon Uplink
NAME:GAREFN|Перерабатывающий Комбинат Альянса
NAME:GAROCK|RPG Upgrade
NAME:GASAND|Мешки с Песком
NAME:GASILO|Хранилище
NAME:GASPOT|Light Tower
NAME:GATE1|Шлагбаум
NAME:GATICK|Deployed Tick Tank
NAME:GAVULC|Vulcan Cannon
NAME:GERMANFLAG|Флаг Германии
NAME:GERMANS|Germany
NAME:GLOBE|Театр
NAME:GRINDER|Дробилка
NAME:HORNET|Шершень
NAME:HORV|Боевой Рудокоп
NAME:HTNK|Танк Носорог
NAME:HVR|Hover Monkey
NAME:HYD|Морской Скорпион
NAME:INDUSTRIALPLANT|Промышленное Предприятие
NAME:INIT|Посвященный
NAME:INTROMOVIE|Intro Movie
NAME:ION|Ion Cannon
NAME:IVAN|Безумный Иван
NAME:JUMPJET|Ракетчик
NAME:LASHER|Танк Надзиратель
NAME:LIMO|Лимузин
NAME:LOCOMOTIVE|Локомотив
NAME:LUNR|Космонавт
NAME:MAGNETRON|Магнетрон
NAME:MAYAN|Пирамида Майя
NAME:MAYANRUINS|Руины Майя
NAME:MAYANTEMPLE|Храм Майя
NAME:MNTRUSH|Mount Rush More (2-5)
NAME:MONKEY|Обезьяна
NAME:MUMY|Мумия
NAME:NAAPWR|Advanced Power Plant
NAME:NABNKR|Боевой Бункер
NAME:NACLON|Чаны Клонирования
NAME:NACNST|Советский Сборочный Цех
NAME:NAFLAK|Зенитка
NAME:NAFNCE|Laser Fence Section
NAME:NAHAND|Советские Казармы
NAME:NALASR|Охранный Пулемет
NAME:NAPOST|Узел Лазерного Заграждения
NAME:NAPSYA|Пси-Усилитель
NAME:NAPSYBB|Пси-Маяк
NAME:NAPULS|EMP Cannon
NAME:NAREFN|Советский Перерабатывающий Комбинат
NAME:NATBNK|Танковый Бункер
NAME:NATECH|Советская Военная Лаборатория
NAME:NAWAST|Waste Facility
NAME:NAWEAP|Советский Военный Завод
NAME:NEUTRAL|Гражданский
NAME:ORCA|Харриер
NAME:ORCATRAN|Black Oops Transport BAD VERSION
NAME:PICK|Грузовик
NAME:PIGCAR|Полицейская Машина
NAME:POLARBEAR|Белый Медведь
NAME:PRES|Президент
NAME:PROPA|Грузовик Пропаганды
NAME:REDBUS|Автобус
NAME:RMNV|Премьер Романов
NAME:ROBOTANK|Роботанк
NAME:RVIEW|Remote Viewing
NAME:SECRETSERVICE|Секретный Агент
NAME:SHK|Тесла Солдат
NAME:SIEGECHOPPER|Осадный Вертолет
NAME:SMIN|Рудокоп-рабовладелец
NAME:SNOW|Снежный
NAME:SPECIAL|JP
NAME:SPY|Шпион
NAME:SPYP|Самолет-шпион
NAME:SQD|Гигантский Кальмар
NAME:SREF|Призма Танк
NAME:TANYA|Таня
NAME:TAXI|Такси
NAME:TEMPERATE|Умеренный
NAME:TESLA|Тесла-Катушка
NAME:TESTERSMAP|Tester's Map
NAME:TEXAS_DMZ|ДМЗ Техаса
NAME:TRAINCAR|Тележка Поезда
NAME:TRNSPORT|Carryall
NAME:TUGBOAT|Буксир
NAME:UKFLAG|Флаг Великобритании
NAME:URBAN|Городской
NAME:V3|Пусковая установка Фау-3
NAME:V3ROCKET|Ракета Фау-3
NAME:VIRUS|Вирус
NAME:VLADBOAT|Флагман Владимира
NAME:WEEDGUY|Chem Spray Infantry
NAME:WIMPS|No Wimps (2-4)
NAME:YCAB|Желтый Кэб
NAME:YMCV|МСЦ Юрия
NAME:YURIRAD|Пси-Радар
NAME:ZEP|Дирижабль Киров
NAME:GAENGN|Разбившийся Парадокс
NAME:ITNK|Танк Инфектор
NAME:NAGIGA|Гигакатушка
NAME:NATBNKK|Танковый Бункер
NAME:YASPAT|Защитная Система Спата
NAME:CHENYING|Чен Инг
NAME:MANTA|Хвостокол
NAME:YAHCR2|Платформа Геена
NAME:CAOILR|Нефтеочистительный Завод
NAME:CAOILS|Нефтерезервуар
NAME:CAOPIP|Нефтепровод
NAME:MECHA|Тенгу
NAME:ROCONTR|Пульт Управления Ракетой
NAME:YAHIVE|Гнездо Диббуков
TXT_SAVING_GAME|Игра сохраняется. Подождите...
NAME:CAGREFGL|Флаг Греции
NAME:CALCFGL|Флаг Конфедерации
NAME:CASPAFGL|Флаг Испании
NAME:CREAM|Фургончик Мороженого
NAME:DESTISIDE|Выбрать этот отряд в качестве основного.
NAME:DEVOD|Колосс (Режим ПВО)
NAME:DHANDL|Рука Эрешкигаль
NAME:DHANDR|Рука Эрешкигаль
NAME:GABSTA|Экспериментальная Станция Отключения
NAME:GAMGG|Развернутый Мобильный Генератор Разрыва
NAME:HARBSTRIKE|Авиаудар Предвестников
NAME:HUNTERSEEKERB|Дрон Охотник
NAME:ICBMROCKET|Ракета Тополь-М
NAME:NARECL|Восстановительный Завод
NAME:REPORTX|Сообщение от ???:
NAME:SATHACK|Взлом Спутников
NAME:YABOLT|Пси-Преобразователь
NAME:GACRYO|Криомина
NAME:GACRYOS|Криомины
NAME:TNKKIL|Убийца Танков
TXT_POWERUNIT|Ï
TXT_DEVELOPMENT|Разработка
TXT_DUMP_AI_BASE_PLAN|Выгрузить значения AI Base Plan
TXT_DUMP_AI_BASE_PLAN_DESC|Сохраняет парамерты планирования базы ИИ в debug.log.
TXT_DUMP_MEMORY|Выгрузить память процесса
TXT_DUMP_MEMORY_DESC|Сохраняет память процесса в debug.log.
TXT_DUMP_TYPES|Выгрузить списки типов
TXT_DUMP_TYPES_DESC|Сохраняет текущие списки типов в debug.log.
TXT_FPS_COUNTER|Счетчик FPS
TXT_FPS_COUNTER_DESC|Включает счетчик FPS, отображающий текущую и среднюю скорость обновления кадра.
TXT_GAME_WAS_SAVED|Миссия успешно сохранена.
TXT_MAP_SNAPSHOT|Снимок карты
TXT_MAP_SNAPSHOT_DESC|Сохраняет текущее состояние карты в папку с игрой.
TXT_TECH_SHIELDGEN_CAPTURED|Захвачен Щитогенератор - Техника в зоне действия получит дополнительную защиту.
TXT_TECH_SHIELDGEN_LOST|Щитогенератор потерян.
TXT_TOGGLE_POWER|Управление Энергией
TXT_TOGGLE_POWER_DESC|Позволяет включать или выключать здания, управляя потреблением энергии.
NAME:AENGINEER|Инженер Альянса
NAME:ARTY|Артиллерия
NAME:BCNTR|Черный Штурмовой Шагоход Центурион
NAME:BLOWER|Снегосдуватель
NAME:BUSRED|Автобус
NAME:CAACOM|Вышка Связи
NAME:CAANNN|Благовещенский Собор
NAME:CAAUFLG|Флаг Австралии
NAME:CABARRX|Противотанковый Еж
NAME:CABCRN|Портовый Кран
NAME:CABLSH|Большой Театр
NAME:CABSTOP|Автобусная Остановка
NAME:CACABL|Опора
NAME:CACITY|Офисное Здание
NAME:CACRAN|Портовый Кран
NAME:CADORM|Успенский Собор
NAME:CADSTA|Овальный Стадион
NAME:CADWAR|Склад
NAME:CAEAFLG|Флаг Евросоюза
NAME:CAEAST02X|Бюст Юрия
NAME:CAEGYP|Пирамида
NAME:CAETNT|Палатки
NAME:CAEURO05X|Статуя Священника
NAME:CAFARM06F|Маяк
NAME:CAGAS02|Бензоколонка
NAME:CAGAS03|Указатель Заправки
NAME:CAGCUG|Гаражи Донки
NAME:CAHALL02|Армейский Склад
NAME:CAHALL02N|Армейский Склад
NAME:CAHBNK|Вертолетный Бункер
NAME:CAHHFLG|Флаг Головы Акулы
NAME:CAHOLO|Голографический Щит Фоэн
NAME:CAHPIP|Рампа
NAME:CAHSE|Дом
NAME:CAIDFGL|Флаг Исландии
NAME:CAIND01X|Фабрика
NAME:CAJAPA|Здание
NAME:CAJARC|Тории
NAME:CAKRAR|Арсенал Московского Кремля
NAME:CAKRSN|Сенатский Дворец
NAME:CALA01X|Мелочевка Кигана
NAME:CALA03X|Знак Голливуда
NAME:CALA04X|Голливудская Чаша
NAME:CALA10B|All Your Base Are Belong To Us
NAME:CALBFLG|Флаг Последнего Бастиона
NAME:CALUNR02|Флаг США
NAME:CAMHME|Дом На Колесах
NAME:CAMINF|Обогатительный Комбинат
NAME:CAMOV01X|Киноэкран - Бананы
NAME:CAMOV03|Киноэкран - Муравьи
NAME:CAMOV04|Киноэкран - Westwood
NAME:CAMOV05|Киноэкран - Советская Европа
NAME:CAMOV06|Киноэкран - Ядерные Испытания
NAME:CAMOV07|Киноэкран - Погоня
NAME:CAMSC02X|Зонты
NAME:CAMSC04X|Пляжные Полотенца
NAME:CAMSC12|Учебная Мишень
NAME:CAMSC14|Факел
NAME:CAMSC15|Деревянный Факел
NAME:CAMXFLG|Флаг Мексики
NAME:CANEWY20X|Склад
NAME:CANPLM|Хранилище Напалма
NAME:CANWFGL|Флаг Норвегии
NAME:CAOFFC|Офисы Донки
NAME:CAONIO|Луковичная Арена
NAME:CAORAN|Арбузная Арена
NAME:CAPARKB|Скамейка
NAME:CAPARS01A|Эйфелева Башня
NAME:CAPFFLG|Флаг Тихоокеанского Фронта
NAME:CAPICN01X|Столик
NAME:CAPIER|Пирс Маяка
NAME:CAPROP|Стальные Бочки
NAME:CAPYRA|Пирамида Хеопса
NAME:CARDBK|Дорожное Заграждение
NAME:CARPUB|Паб Донки
NAME:CARRIERE|Авианосец Энтерпрайз
NAME:CARUS01X|Собор Василия Блаженного
NAME:CARUS03X|Большой Кремлевский Дворец
NAME:CARUS07X|Лобное Место
NAME:CASANF04X|Мост Золотые Ворота
NAME:CASANF16|Маяк
