THEME:INTRO|Intro
WOL:MATCHINGPLAYERPOOL|There are currently %s players attempting to match
WOL:MATCHBADPARAMETERS|Error : Received unrecognized parameters from match server
WOL:MATCHUNKNOWNSERVERCOMMAND|Error : Unknown command from match server
WOL:MATCHFOUNDWITH|Found match with %hs
WOL:MATCHCREATINGGAME|Creating Game...
WOL:MATCHWAITINGFORJOIN|Waiting for %hs to join game
WOL:MATCHERRORCREATINGGAME|Error creating game
WOL:MATCHATTEMPTINGTOFINDGAME|Searching for %hs's game
WOL:MATCHGAMECHANNELNOTFOUND|Could not find %hs's game
WOL:MATCHJOINEDGAME|Game Joined
WOL:MATCHERRORJOININGGAME|Error Joining Game
WOL:GAMEFULL|The Selected Game is Full
GUI:PREFERREDSERVER|Любимый сервер :
GUI:LOCALE|Место :
GUI:PREFERREDCOUNTRY|Любимая страна
GUI:PREFERREDCOLOR|Любимый цвет
GUI:BUDDYNAME|Имя друга
GUI:NEWBUDDY|Новый друг :
WOL:BUDDYDISABLEDFIND|Find/Page Disabled
WOL:BUDDYOFFLINE|Offline
WOL:BUDDYONLINE|Online/Available
WOL:BUDDYUNKNOWNSTATUS|?
WOL:BUDDYPLAYINGGAME|Playing Game
WOL:FETCHINGBUDDYLIST|Fetching Buddy List
STT:EMOTEBUTTON|Послать сообщение.
STT:OPTIONINTERNETLATENCY|Adjusts the expected latency (delay) across the internet
STT:OPTIONINTERNETSPEEDSLIDER|Установить предпочитаемую скорость игры.
STT:OPTIONINTERNETGAMECONTROLS|Установить настройки игры.
STT:OPTIONINTERNETABORTMISSION|Выйти из игры.
STT:IDC_RESUME_MISSION|Вернуться в игру
STT:WOLAUTOLOGINDONOTASK|Пометить если Вы не хотите отвечать на этот вопрос снова.
STT:WOLAUTOLOGINYES|Автоматически использовать эту учетную запись.
STT:WOLAUTOLOGINNO|Всегда вводить имя и пароль.
STT:WOLBUDDYBUDDYLIST|Двойной щелчок по имени друга для просмотра его странички
STT:WOLBUDDYWINS|Ваш друг победил в таком количестве игр.
STT:WOLBUDDYLOSSES|Ваш друг проиграл в таком количестве игр.
STT:WOLBUDDYDISCONNECTS|Ваш друг отключался от игр такое количество раз.
STT:WOLBUDDYRANK|Ваш друг имеет такое звание на доске почета.
STT:WOLBUDDYPOINTS|Ваш друг имеет такое количество мест на доске почета.
STT:WOLBUDDYCREATEGAME|Создать игру
STT:WOLBUDDYJOIN|Присоединиться к выбранной игре или комнате ожидания.
STT:WOLBUDDYPAGE|Отправить сообщения выбранному другу.
STT:WOLBUDDYADD|Добавить друга в Ваш список.
STT:WOLBUDDYREMOVE|Удалить выбранного друга из Вашего списка.
STT:WOLBUDDYREFRESH|Узнать последний статус Ваших друзей.
STT:WOLBUDDYBACK|Вернуться в предыдущее меню.
STT:WOLLOBBYREFRESHCHANNELS|Обновить список открытых игр
STT:WOLLOBBYCHANNELLIST|Щелчок по прихожей для присоединения.
STT:WOLBUDDY|Перейти к списку друзей.
STT:WOLCLANLADDER|Review player and battle clan rankings
STT:WOLLOBBYOPTIONS|Настроить параметры Westwood Online.
STT:WOLLOBBYBACK|Вернуться в меню Westwood Online.
STT:WOLLOGINNICKNAME|Ввести имя вашей уч. записи на Westwood Online или выбрать из списка.
STT:WOLLOGINPASSWORD|Введите свой пароль здесь
STT:WOLLOGINLOGIN|Ввести имя вашей уч. записи и пароль на Westwood Online.
STT:WOLNEWACCOUNT|Создать новую учетную запись на Westwood Online.
STT:WOLLOGINFORGET|Удалить учетную запись с этого компьютера.
STT:WOLLOGINBACK|Вернуться в меню Westwood Online.
STT:WOLMANAGEACCOUNT|Просмотреть и изменить информацию учетной записи.
STT:WOLMATCHOUTPUT|Отображение статуса, запрошенного Вами, матча.
STT:WOLMATCHCANCEL|Вернуться в меню Westwood Online.
STT:WOLMYINFORMATIONNAME|Выбор сохраненного имени учетной записи.
STT:WOLMYINFORMATIONSERVER|Выбор Вашего любимого сервера.
STT:WOLMYINFORMATIONLOCALE|Выбор Вашей национальности.
STT:WOLMYINFORMATIONCOUNTRY|Выбор национальности, которой Вы будите в игре.
STT:WOLMYINFORMATIONCOLOR|Выбор цвета, которого Вы будите в игре.
STT:WOLMYINFORMATIONAUTOLOGIN|Пометить, чтобы автоматически использовать эту уч. запись.
STT:WOLMYINFORMATIONWINS|Количество побед в этих играх.
STT:WOLMYINFORMATIONLOSSES|Количество поражений в этих играх.
STT:WOLMYINFORMATIONDISCONNECTS|Количество отключений от этих игр.
STT:WOLMYINFORMATIONRANK|Это Ваше звание в зале славы.
STT:WOLMYINFORMATIONPOINTS|Количество набраных очков в зале славы.
STT:WOLMYINFORMATIONBACK|Вернуться в основное меню
STT:WOLNEWGAMEMAXPLAYERS|Поставить предел игры на это кол-во игроков.
STT:WOLNEWGAMEPASSWORD|Ввести пароль для личной игры.
STT:WOLNEWGAMETOURNAMENT|Пометить если Вы хотите учитывать эту игру на доске почета.
STT:WOLNEWGAMECLANTOURNAMENT|Пометить если Вы хотите, чтобы эта игра была битвой кланов.
STT:WOLNEWGAMEOK|Создать игру.
STT:WOLNEWGAMECANCEL|Отмена и возврат в предыдущее меню.
STT:WOLOPTIONSPAGE|Пометить если Вы хотите получать странички от других игроков.
STT:WOLOPTIONSLANGUAGEFILTER|Пометить если Вы не хотите видеть маты.
STT:WOLOPTIONSFIND|Пометить если Вы хотите, чтобы другие игроки могли найти Вас.
STT:WOLOPTIONSMUSIC|Щелкните для включения музыки
STT:WOLOPTIONSSHOWALLINLOBBY|Пометить для показа всех открытых игр.
STT:WOLOPTIONSOK|Применить эти настройки
STT:WOLOPTIONSCANCEL|Не применять эти настройки
STT:WOLWELCOMEQUICKMATCH|Найти игру автоматически.
STT:WOLWELCOMECUSTOMMATCH|Войти в прихожую для поиска противника.
STT:WOLWELCOMEWDT|Играть в мировое господство.
STT:WOLWELCOMEMYINFORMATION|Изменить Вашу учетную запись на Westwood Online.
STT:WOLWELCOMEBACK|Вернуться в основное меню.
STT:WOLBEGINNICKMONTH|Выбрать месяц даты Вашего рождения.
STT:WOLBEGINNICKDAY|Ввести день Вашего рождения.
STT:WOLBEGINNICKYEAR|Ввести год Вашего рождения (4 цифры)
STT:WOLBEGINNICKEMAIL|Ввести Ваш адрес электронной почты.
STT:WOLBEGINNICKNEWSLETTER|Пометить если Вы хотите получать новости о наших играх.
STT:WOLBEGINNICKCONTINUE|Продолжение.
STT:WOLBEGINNICKVIEWPRIVACY|Просмотреть наш полис секретности на нашем сайте.
STT:WOLBEGINNICKCANCEL|Отмена и возврат в предыдущее меню.
STT:WOLNEWNICKOK|Для учетной записи требуется имя и пароль.
STT:WOLNEWNICKCANCEL|Отмена и возврат в предыдущее меню.
STT:WOLNEWNICKNICKNAME|Ввести здесь имя Вашей уч. записи.
STT:WOLNEWNICKPASSWORD|Ввести здесь Ваш пароль. Должно быть 8 символов.
STT:WOLNEWNICKVERIFY|Введите еще раз Ваш пароль здесь. Должно быть 8 символов.
STT:WOLNEWNICKPARENTEMAIL|Введите адрес эл. почты Ваших родителей или опекунов
STT:WOLNEWNICKSELLINFO|Пометить здесь, чтобы мы распространяли Вашу информацию.
TXT_WAITING|Ожидание
TXT_ABORTED|Прервано
TXT_NEED_TWO|Этот режим игры только для двух игроков.
TXT_COOP_NEED_TWO|Совместный режим только для двух игроков.
TXT_COOP_SAVE_SUCCESS|Прогресс кампании сохранен.
TXT_COOP_SAVE_FAILED|Невозможно сохранить прогресс кампании.
TXT_COOP_USE_SAVE|Использовать сохр. кампанию
TXT_BEACON_MESSAGE|Сообщение маяка:
TXT_BEACON_HELP1|Выделите маяк и нажмите клавишу 'ввод' для ввода текста
TXT_BEACON_HELP2|Выделите маяк и нажмите клавишу 'delete' для удаления маяка
MSG:PLANNINGMODEMERGEX|Click on this node to merge the selected units into this plan. Merging units will execute the commands after the merge node.
MSG:PLANNINGMODELOOPX|Click on this node to create a patrol loop. The patrol loop will persist as long as it has at least one member.
MSG:PLANNINGMODEDELETEX|Click this node to select it. A selected node may be deleted using the delete key.
MSG:PLANNINGMODEALREADYINLOOPX|Cannot connect to this node because the selected units are already in a patrol loop.
MSG:PLANNINGMODEMIXEDLOOPX|Cannot make loop with branch that does not contain the entire selection.
MSG:PLANNINGMODENOPATROLLOOP1|Did not create patrol loop because at least one participant
MSG:PLANNINGMODENOPATROLLOOP2|does not support attack move.
MSG:PLANNINGMODENOPATROLLOOPX|Did not create patrol loop because at least one participant does not support attack move.
MSG:PLANNINGMODENOJOINPATROL1|Cannot join patrol, because at least one unit in the selection
MSG:PLANNINGMODENOJOINPATROL2|does not support attack move.
MSG:PLANNINGMODENOJOINPATROLX|Cannot join patrol, because at least one unit in the selection does not support attack move.
MSG:PLANNINGMODENOMERGE1|Cannot merge, because at least one unit in the selection
MSG:PLANNINGMODENOMERGE2|does not support attack move.
MSG:PLANNINGMODENOMERGEX|Cannot merge, because at least one unit in the selection does not support attack move.
MSG:PLANNINGMODEINVALIDNODE1|You have clicked on an invalid node location.
MSG:PLANNINGMODEINVALIDNODE2|Выберете другое место поблизости.
MSG:PLANNINGMODEINVALIDNODEX|Вы не можете поместить пункт маршрута здесь, выберите другое место.
MSG:PLANNINGMODEUNSUPPORTED|К части выбранных подразделений не применим режим маршрута.
GAMETYPEDESC:BATTLE|Ally with other players and battle until one team is victorious.
GAMETYPEDESC:FFA|Alliances are forbidden, there can be only one victor.
GAMETYPEDESC:MEATGRINDER|High-technology weapons are not available.
GAMETYPEDESC:NAVALWAR|Fight for control of the high-seas.
GAMETYPEDESC:UNHOLY|Begin with both a Soviet and Allied Mobile Construction Vehicle.
GAMETYPEDESC:LANDRUSH|Begin with only an MCV near your enemies. Rush to the best building locations.
GAMETYPEDESC:MEGAWEALTH|Capture Oil Derricks in order to make money.
GAMETYPEDESC:COOPERATIVE|Play campaign with a friend.
GUI:HOSTGAMESTARTHOST|Другие игроки были извещены, что вы хотите начать игру.
GUI:HOSTGAMESTARTJOINER|Сервер хочет начать игру. Нажмите кнопку Применить.
GUI:EJECTAIPLAYERS|Выбор этой карты выбросит одного или несколько ИИ игроков из вашей игры. Чтобы оставить игроков, выберите карту с большим количеством мест или эти игроки присоединятся к игре с большим количеством мест.
GUI:EJECTPLAYERS|Выбор этой карты выбросит одного или более ИИ или живых игроков из вашей игры. Для того, чтобы не выкинуло игроков, выберите карту на большее количество игроков.
GUI:PARTITLEALL03|Ваше звание: Старшина
GUI:GENERATING|Создание...
TXT_SAVE_CAMP_AVAILABLE|Сохраненная кампания доступна.
GUI:REPLYPAGE|Отправить
GUI:REPLYTO|Отправить для:
STT:WOLOPTIONSSOUNDOPTIONS|Настроить звук.
GUI:LOGINSCREEN|Вход
GUI:BUDDYNICKNAME|Имя друга для добавления
TXT_FETCHING_WDT|Установка информации о туре Мирового господства
WDTNACAMPAIGN|North America
WDTEUROPECAMPAIGN|Europe
WDTASIACAMPAIGN|Asia
TXT_WOL_LOGGING_OUT|Выход из Westwood Online
GUI:CREATINGCHANNEL|Создать игровой канал
GUI:LOGINCOMPLETE|Вход завершен
WOL:LEAVINGCHANNEL|Leaving channel
GUI:PAGEBUDDY|Отправить страничку
GUI:PAGERECEIVED|Получена страничка
WDT:SMALLMAP|Small Map
WDT:MEDIUMMAP|Medium Map
WDT:LARGEMAP|Large Map
WDT:VERYLARGEMAP|Very Large Map
MSG:PLANNERMAXIMUM|Вы превысили максимум подразделений, которым можно задавать маршрут.
GUI:SUPERWEAPONSALLOWED|Супероружие
GUI:BUILDOFFALLY|Строить около союзников
GUI:RANDOMEX|Случайно (???)
GUI:RANDOMASSYMBOLS|???
GUI:GOLDABBREV|ЗОЛ
GUI:REDABBREV|КРА
GUI:BLUEABBREV|СИН
GUI:GREENABBREV|ЗЕЛ
GUI:ORANGEABBREV|ОРА
GUI:SKYBLUEABBREV|ГОЛ
GUI:PURPLEABBREV|ФИО
GUI:PINKABBREV|РОЗ
GUI:LOADING|Загрузка
GUI:LOADINGEX|Загрузка...
GUI:DIPLOMACYMENU|Настройки Дипломатии
GUI:CHAT|Чат
GUI:VERSION|Версия
STT:PLAYERNONE|На этом месте нет игрока.
STT:PLAYERDUMBAI|Легкий компьютерный оппонент.
STT:PLAYERSMARTAI|Средний компьютерный оппонент
STT:PLAYERGENIUSAI|Сложный компьютерный оппонент.
STT:PLAYERHUMAN|Человек.
STT:PLAYEROPEN|Это место открыто для игроков, которые захотят присоединиться.
STT:PLAYERCLOSED|Это место закрыто для игроков, которые захотят присоединиться.
STT:PLAYERSIDERANDOM|Выбрать случайную нацию.
STT:PLAYERSIDEAMERICA|Американцы могут десантировать парашютистов.
STT:PLAYERSIDEKOREA|Корейцы могут строить самолеты Черный орел.
STT:PLAYERSIDEFRANCE|Французы могут строить большие пушки.
STT:PLAYERSIDEGERMANY|Немцы могут строить Убийц танков.
STT:PLAYERSIDEBRITAIN|Британцы могут тренировать снайперов.
STT:PLAYERSIDELIBYA|Ливийцы могут строить ядерные грузовики.
STT:PLAYERSIDEIRAQ|Иракцы могут тренировать расщепителей.
STT:PLAYERSIDECUBA|Кубинцы могут тренировать террористов.
STT:PLAYERSIDERUSSIA|Русские могут строить танки Теслы.
STT:PLAYERCOLORRANDOM|Изменить на случайный цвет.
STT:PLAYERCOLORGOLD|Изменить на желтый.
STT:PLAYERCOLORRED|Изменить на красный.
STT:PLAYERCOLORBLUE|Изменить на синий.
STT:PLAYERCOLORGREEN|Изменить на зеленый.
STT:PLAYERCOLORORANGE|Изменить на оранжевый.
STT:PLAYERCOLORSKYBLUE|Изменить на голубой.
STT:PLAYERCOLORPURPLE|Изменить на пурпурный.
STT:PLAYERCOLORPINK|Изменить на розовый.
STT:MODEBATTLE|В 'Битве' вы можете заключать союзы с другими игроками.
STT:MODEMEGAWEALTH|В 'Сверх богатстве' Вы должны захватывать нефтяные вышки для заработка денег.
STT:MODEDUEL|В 'Наземном месиве' Вы должны найти лучшее место для базы.
STT:MODEMEATGRIND|В 'Мясорубке' игроки ограничены простыми наземными подразделениями.
STT:MODENAVALWAR|В 'Морской войне' игроки ограничены морскими подразделениями.
STT:MODEFREEFORALL|В 'Каждый сам за себя' нельзя объединяться в союзы.
STT:MODEUNHOLYALLIANCE|В 'Неестественном союзе' игроки начинают с советским и союзническим ПСД.
STT:MODESIEGE|В 'Осаде' несколько игроков воюют против одного.
STT:MODECOOPERATIVE|В 'Совместно' 2 игрока играют против врагов управляемых компьютером.
TXT_PLACE_BEACON|Установить маяк
TXT_PLACE_BEACON_DESC|Установить маяк связи.
STT:SKIRMISHCBOXSWALLOWED|Можно создавать супероружие.
STT:HOSTCBOXSWALLOWED|Выбрать для возможности создания супероружия.
STT:GUESTCBOXSWALLOWED|Только сервер игры может разрешить использование супероружия.
STT:SKIRMISHCBOXBUILDOFFALLY|Разрешить игрокам строить возле СЦ их союзников.
STT:HOSTCBOXBUILDOFFALLY|Разрешить игрокам строить около союзников.
STT:GUESTCBOXBUILDOFFALLY|Разрешить игрокам строить около зданий союзников.
WOL:REQUESTINGNICKNAME|Requesting Nickname
WOL:BUDDYQUICKMATCHING|Quickmatching
WOL:NOMATCHINGAGENTFOUND|Error: Matching Server Not Found
WOL:CHANNELJOINFAILURE|Unable to join channel
GUI:NOSERVERSAVAILABLE|Нет доступных серверов
GUI:WOLNEWNICKNAME|Новое имя
GUI:WOLNEWGAME|Новая игра
WOL:GAMEPING|Ping: %dms
STT:WOLLOGINREMEMBER|Запомнит эту учетную запись.
WOL:QUICKMATCHRESOLUTIONQUERY|Quick Match games may only be played with a screen resolution of 640x480. Would you like to change screen resolution now?
WOL:WDTRESOLUTIONQUERY|World Domination games may only be played with a screen resolution of 640x480. Would you like to change screen resolution now?
WOL:RESOLUTIONLIMITED640|This game is limited to a screen resolution of 640x480. Would you like to change the in-game screen resolution now?
WOL:RESOLUTIONLIMITED800|This game is limited to a screen resolution of 800x600. Would you like to change the in-game screen resolution now?
WDT:FACTIONSELECTTOOLTIP|Click on a logo to choose a side to fight for
WDT:FACTIONSELECTALLIESTOOLTIP|Click on logo to fight for the Allies
WDT:FACTIONSELECTSOVIETTOOLTIP|Click on logo to fight for the Soviets
WDT:TERRITORYSELECTTOOLTIP|Click on a white territory to engage in battle
STT:WOLLIMITSCREENRESOLUTION|Требование всем игрокам использовать Ваше разрешение или меньше
WDT:TERRITORYSELDISPTOOLTIP|Click to fight in this territory
WOL:LIMITSCREENRESOLUTION|Limit Screen Resolution
TXT_WDT_NET_ERR|Невозможно соединиться с сервером Мирового господства.
TXT_UNKNOWN_PING|Задержка : ?
TXT_SERIALUNKNOWN|Возможно, Ваш серийный номер неправильный. Вы хотите открыть Ваш обозреватель интернета для получения дополнительной информации?
TXT_SKUSERIALMISMATCH|Возможно, Ваш серийный номер принадлежит другой игре от Westwood Studios. Вы хотите открыть Ваш обозреватель интернета для получения дополнительной информации?
TXT_BAD_MAP|Сервер выбрал измененную карту. Это дает серверу несправедливое преимущество. Предварительный просмотр невозможен.
THEME:POWER|Энергия
THEME:MOTORIZED|Motorized
THEME:HM2|HM2
THEME:C&C IN THE HOUSE|C&C In The House
WOL:WDTFACTIONBACK|Return to the Westwood Online menu
WOL:WDTTERRITORYBACK|Return to the Faction Select menu
WOL:WDTMATCHBACK|Return to WDT Territory menu
WOL:LOCALE00|Unknown
WOL:LOCALE01|Rest of World
WOL:LOCALE02|United States
WOL:LOCALE03|Canada
WOL:LOCALE04|United Kingdom
WOL:LOCALE05|Germany
WOL:LOCALE06|France
WOL:LOCALE07|Spain
WOL:LOCALE08|Netherlands
WOL:LOCALE09|Belgium
WOL:LOCALE10|Austria
WOL:LOCALE11|Switzerland
WOL:LOCALE12|Italy
WOL:LOCALE13|Denmark
WOL:LOCALE14|Sweden
WOL:LOCALE15|Norway
WOL:LOCALE16|Finland
WOL:LOCALE17|Israel
WOL:LOCALE18|South Africa
WOL:LOCALE19|Japan
WOL:LOCALE20|South Korea
WOL:LOCALE21|China
WOL:LOCALE22|Singapore
WOL:LOCALE23|Taiwan
WOL:LOCALE24|Malaysia
WOL:LOCALE25|Australia
WOL:LOCALE26|New Zealand
WOL:LOCALE27|Brazil
WOL:LOCALE28|Thailand
WOL:LOCALE29|Argentina
WOL:LOCALE30|Philippines
WOL:LOCALE31|Greece
WOL:LOCALE32|Ireland
WOL:LOCALE33|Poland
WOL:LOCALE34|Portugal
WOL:LOCALE35|Mexico
WOL:LOCALE36|Russia
WOL:LOCALE37|Turkey
WDT:ALLIEDHELDTOOLTIP|This territory is controlled by the Allies
WDT:SOVIETHELDTOOLTIP|This territory is controlled by the Soviets
CRD:CREDITS|CREDITS
CRD_TTL:PRODUCTION|PRODUCTION
GUI:HOSTNOMAP|%s не имеет %s.
GUI:JOINERNOMAP|У вас нет %s. Чтобы убедится, что у Вас самые последние карты, посетите www.westwood.com.
MSG:PLANNINGMODEINTRO1BUTTON|Вы вошли в режим маршрута. Нажмите эту кнопку еще раз для выхода.
MSG:PLANNINGMODEINTRO1KEY|Вы вошли в режим маршрута. Для выхода отпустите кнопку.
MSG:PLANNINGMODELOOPHELP|Вы создали маршрут патрулирования. Войска будут следовать ему до получения новых приказов.
MSG:PLANNINGMODEDELETEHELP|Вы выбрали точку маршрута. Для ее удаления нажмите 'Delete'
MSG:PLANNINGMODENOSTOP|В режиме маршрута команда 'Остановиться' недоступна.
MSG:PLANNINGMODENOSCATTER|В режиме маршрута приказ 'Рассредоточить' недоступен.
MSG:PLANNINGMODENODEPLOY|В режиме маршрута команда 'Развернуть' недоступна.
MSG:PLANNINGMODENOGUARDAREA|Выбранным подразделениям нельзя отдать приказ об охране в реж. маршрута.
MSG:PLANNINGMODENOAIRCRAFT|Для авиации режим маршрута недоступен.
COOPERATIVEWIN|YOU ARE VICTORIOUS!
GUI:TAUNTSON|Насмешки вкл.
STT:TAUNTSON|Разрешить посылать и получать насмешки.
GUI:STANDALONESCORE|Итоги Миссии
GUI:MULTIPLAYERSCORE|Итоги Сражения
TXT_POWER_DRAIN2|Энергия = %d Потребление = %d
WOL:MATCHFAIL|Cannot locate a suitable opponent...
STT:WOLLOCALEOK|Настроить мое местоположение
STT:WOLLOCALECANCEL|Не настраивать мое местоположение.
TXT_CD_DIALOG_A|Пожалуйста, вставьте компакт-диск Союзников игры Красная угроза 2 в устройство чтения компакт-дисков.
TXT_CD_DIALOG_S|Пожалуйста, вставьте компакт-диск Советского Союза игры Красная угроза 2 в устройство чтения компакт-дисков.
MSG:PLANNINGMODEHETEROSEL|Для задания след. точки все выбранные подразделения должны принадлежать одному маршруту!
MSG:PLANNINGMODENOBUILDINGS|Для зданий режим маршрута недоступен.
MSG:PLANNINGMODENOUNKNOWNS|Одна из боевых единиц не может пользоваться режимом маршрута.
GUI:FIRSTPLACE|Первое место
GUI:SECONDPLACE|Второе место
GUI:CAMPAIGNRESULTS|Результат кампании
GUI:DIFFICULTYSTRING|Сложность: %s
GUI:CAMPAIGNLABEL|Кампания: %d
TXT_DIFFICULTY_EASY|ЛЕГКО
TXT_DIFFICULTY_MEDIUM|СРЕДНЕ
TXT_DIFFICULTY_BRUTAL|СЛОЖНО
STT:MPSCORELABELSTATUS|Этот игрок готов.
STT:MPSCORELABELCAMPAIGNNAME|Название кампании.
STT:MPSCORELABELMAPNAME|Название карты, в которую играли.
STT:MPSCORELABELDIFFICULTY|Сложность кампании.
STT:MPCAMPSCORECONTINUE|Продолжить на следующей карте.
STT:MPCAMPSCOREQUIT|Выйти из этой кампании.
STT:MPCAMPENDCAMPAIGNNUMBER|Количество сыгранных кампаний.
STT:MPCAMPENDTIME|Полное время для кампании.
STT:IGSINGLEOPTBUTTONDELETE|Используйте это, чтобы удалить сохраненную игру.
GUI:SAVEMAPMENU|Сохранить карту
GUI:DELETEMAPMENU|Удалить карту
GUI:LOADMAPMENU|Загрузить карту
GUI:MAPSAVED|Карта сохранена
GUI:PLAYMOVIE|Просмотреть
GUI:SELECTMOVIE|Выбор видеоролика
ERROR:PLAYERLEFTGAMEABORTED|One of the players left the game during initialization. The game has been aborted.
GUI:WWBRAND|2006, 2007 ЛОКАЛИЗАЦИЯ SIBERIAN STUDIO. ВСЕ ПРАВА ЗАЩИЩЕНЫ
GUI:SKIRMISHSCORE|Итоги схватки
STT:OPTIONINTERNETRESUMEMISSION|Вернуться к миссии.
STT:IGRLOGIN|Введите Ваше имя на Westwood Online.
STT:WOLADDBUDDYQUERYDONOTASK|Пометить если Вы не хотите отвечать на этот вопрос снова.
STT:WOLADDBUDDYQUERYYES|Добавить этого игрока в Ваш список друзей.
STT:WOLADDBUDDYQUERYNO|Не добавлять этого игрока в список друзей.
GUI:DEBUG|Информация
GUI:CURSORCHEAT|Координаты
DESC:CURSORCHEAT|Displays coordinates at the cursor.
STT:WOLOPTIONFILTERASIAN|Показывать сообщения, использующие азиатскую кодировку.
STT:WOLOPTIONFILTERNONASIAN|Показывать сообщения, не использующие азиатскую кодировку.
GUI:WOLCHECKSTATUS|Сетевой статус
GUI:FILTERASIANMESSAGES|Показывать азиатские сообщения
GUI:FILTERNONASIANMESSAGES|Показывать неазиатские сообщения
TXT_LOB_7|Китайский бункер
TXT_LOB_8|Intl. Command
WOL:MATCHOPPONENTRANK|Opponent Rank = %d \n
WOL:MATCHOPPONENTRANKUNKNOWN|Opponent Rank Unknown
WOL:MATCHOPPONENTPINGUNKNOWN|Opponent Ping Unknown
WOL:MATCHOPPONENTPING|Opponent Ping = %dms \n
WOL:ADDBUDDYQUERY|Add %hs to your buddy list?
GUI:TO|Для
GUI:AMOUNT|Сумма
GUI:CURRENT|Текущая
GUI:GIVE|Дать
TXT_PAGE_COMMAND|/page
TXT_ONLINE_COMMAND|/on
GUI:NORMALGAMEICONDESC|Эта игра не будет записана на доске почета Westwood.
GUI:TOURNAMENTGAMEICONDESC|Эта игра будет записана на доске почета Westwood.
GUI:CLANGAMEICONDESC|Эта игра является битвой кланов.
GUI:RESOLUTIONLIMITICONDESC|Эта игра для особого разрешения экрана.
GUI:OBSERVERALLOWEDICONDESC|Эта игра позволяет наблюдать за участниками.
GUI:PASSWORDICONDESC|Эта игра требует пароль для входа.
GUI:OPERATORICONDESC|Этот игрок является представителем Westwood Studios или Red Alert 2.
TXT_OBSERVER_CANT_PAGE|Зритель не может отправлять личные сообщения игрокам во время игры.
TXT_SCOUT|Разведка местности
TXT_SCOUT_DESC|Приказать подразделению исследовать близлежащую местность.
TXT_STRUCTURE_TAB|Выбор таблицы зданий
TXT_STRUCTURE_TAB_DESC|Переключить панель на таблицу зданий.
TXT_DEFENSE_TAB|Выбор таблицы вооружений
TXT_USER_FOUND|%s на канале %s.
TXT_USER_NOT_IN_CHANNEL|%s нет на канале.
TXT_USER_NOT_ONLINE|%s не зарегистрирован(а) на Westwood Online.
TXT_USER_FIND_DISABLED|%s не отвечает на команду поиска.
TXT_REPLY_COMMAND|/reply
TXT_REPLY_COMMAND_SHORT|/r
TXT_NO_AI_WITH_OBSERVER|Вы не можете выбирать компьютерного оппонента, когда присутствует наблюдатель
TXT_OBSERVER_BOOTED_AI|Режим наблюдателя сбрасывает выбранных ИИ игроков
GUI:GRAYABBREV|НАБ
GUI:OPENOBSERVER|Для наблюдателя
TXT_OBSERVER_CANT_SEND|Наблюдатель может только посылать сообщения всем игрокам
TXT_NO_AI_OBSERVATION|Нельзя наблюдать при таких настройках.
STT:PLAYERCOLOROBSERVER|Выберите это, чтобы быть наблюдателем.
STT:PLAYERSIDEOBSERVER|Наблюдатели могут видеть все поле боя.
STT:PLAYEROPENOBSERVER|Это место открыто для игроков, которые захотят понаблюдать.
STT:OBSERVERTOGGLE|Щелкните здесь, чтоб наблюдать за игрой.
STT:LOBBYBUTTONOBSERVE|Наблюдать за уже существующей сетевой игрой.
TXT_LATENCY_ICON_TOOLTIP_PING|Качество соединения между %s и сервером %s. Задержка = %dмс.
TXT_LATENCY_ICON_TOOLTIP_NOPING|Качество соединения между %s и сервером %s. %s
TXT_GOOD|good
TXT_FAIR|fair
TXT_POOR|poor
TXT_UNKNOWN|неизвестно
TXT_NO_ONE_WHOM_TO_REPLY|You have not been paged yet. Unable to send reply.
TXT_NO_NAME_SPECIFIED|You did not specify a person to send the page to.
TXT_CANT_SEND_BLANK_PAGE|Невозможно послать пустую страничку.
GUI:ICONGLOSSARY|Описание иконок используемых на Westwood Online
GUI:LATENCYICONDESC|Качество соединения между игроком и сервером.
TXT_PLAYER_TOOLTIP_UNR_C_CR|Имя игрока, %s, клан %s, статус клана = %d
TXT_PLAYER_TOOLTIP_UNR_C_CUNR|Имя игрока, %s, клан %s, клан без статуса
TXT_PLAYER_TOOLTIP_R_C_CR|Имя игрока, %s %d, клан %s, статус клана = %d
TXT_PLAYER_TOOLTIP_R_C_CUNR|Имя игрока, %s %d, клан %s, клан без статуса
TXT_PLAYER_TOOLTIP_UNR_NOC|Имя игрока, %s
TXT_PLAYER_TOOLTIP_R_NOC|Имя игрока, %s %d
TXT_NO_NAME|Вы не ввели корректное имя пользователя.
GUI:OBSERVER|Наблюдатель
GUI:ANIMTEXTON|Вкл. прокрутку текста
STT:ANIMTEXTON|Разрешить прокрутку текста сообщений.
TXT_OBSERVER_FULL|Нет комнат для наблюдателей.
TXT_TOO_MANY_PLAYERS|Интернет игры могут проходить не более чем с 4 игроками.
GUI:CONNECTINGTOPLAYERS|Соединение с другими игроками
TXT_FAILED_TO_TALK|Невозможно соединиться с другими игроками \n 
TXT_TALK_REPORTED_PROBLEM|Игрок %s имеет проблемы со связью \n
TXT_TALK_LOCAL_PROBLEM|Невозможно соединиться с игроком %s \n
TXT_TALK_FORWARDER_PROBLEM_GUES|Невозможно соединиться с сервером игры \n
TXT_TALK_FORWARDER_PROBLEM_HOST|Игрок %s не может соединиться с сервером игры \n
